Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2020-10-18;0,00;16,00;18,00;2,00;5,00;25,00;0,00;13,00;11,00;7,00;13,00;31,00;16,00;7,00;14,00;5,00;4,00;24,00;6,00;18,00;31,00;0,00;15,00;3,00;3,00;2,00;0,00;14,00;0,00;6,00;0,00;0,00;0,00;3,00;0,00
2020-10-25;23,00;59,14;23,00;3,29;23,00;20,29;0,00;25,71;10,82;11,50;37,38;48,88;66,13;9,20;11,50;11,50;9,20;29,00;14,00;14,00;26,00;3,00;12,00;12,00;9,00;0,00;0,00;8,94;3,00;0,00;0,00;0,00;3,00;0,00;3,00
2020-11-01;11,00;35,75;22,00;2,75;16,50;16,50;0,00;16,50;13,75;24,75;46,75;46,75;44,00;11,00;26,40;35,20;8,80;5,00;11,00;5,00;25,00;14,00;8,00;5,00;5,00;5,50;0,00;17,88;0,00;0,00;0,00;0,00;0,00;3,00;0,00
2020-11-08;0,00;18,00;8,00;4,00;6,00;30,00;2,00;13,00;13,00;5,00;16,00;6,00;25,00;8,00;9,00;9,00;1,00;3,00;12,00;9,00;9,00;6,00;6,00;3,00;0,00;0,00;0,00;9,00;3,00;3,00;6,00;0,00;6,00;0,00;0,00
2020-11-15;21,00;42,00;60,00;12,00;18,00;49,00;0,00;36,40;21,00;12,00;36,00;48,00;42,00;18,67;11,67;21,00;7,00;12,00;9,00;9,00;12,00;3,00;3,00;0,00;0,00;0,00;0,00;5,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-22;3,00;48,00;48,00;21,00;15,00;46,50;0,00;19,50;15,00;6,00;51,00;27,00;66,00;3,00;27,00;12,00;12,00;9,00;11,00;9,00;20,00;6,00;29,00;11,00;0,00;0,00;0,00;9,00;0,00;3,00;0,00;3,00;0,00;3,00;0,00
2020-11-29;6,00;36,00;42,00;6,00;30,00;45,00;9,00;28,50;28,50;9,00;18,00;27,00;36,00;6,00;12,00;12,00;0,00;6,00;14,00;20,00;23,00;9,00;9,00;14,00;12,00;10,50;0,00;19,50;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-12-06;3,00;48,00;39,00;30,00;30,00;22,50;0,00;34,50;57,00;9,00;21,00;45,00;69,00;12,00;30,00;15,00;15,00;11,00;3,00;6,00;17,00;9,00;0,00;9,00;6,00;6,00;0,00;16,50;6,00;0,00;9,00;0,00;3,00;0,00;0,00
2020-12-13;0,00;18,00;13,00;5,00;10,00;20,00;2,00;20,00;17,00;2,00;5,00;13,00;13,00;4,00;3,00;7,00;4,00;9,00;12,00;6,00;12,00;9,00;15,00;12,00;3,00;2,00;0,00;9,00;3,00;6,00;3,00;0,00;3,00;3,00;3,00
2020-12-20;7,00;35,00;66,50;10,50;14,00;35,00;7,00;9,80;23,80;21,00;42,00;42,00;56,00;0,00;21,00;9,33;9,33;37,00;7,00;7,00;37,00;10,00;10,00;0,00;0,00;0,00;4,20;21,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00
2020-12-27;7,00;73,50;28,00;10,50;35,00;49,00;2,80;30,80;23,80;14,00;52,50;56,00;63,00;9,33;16,33;28,00;14,00;10,00;3,00;14,00;3,00;7,00;3,00;3,00;10,00;4,20;0,00;14,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00
2021-01-03;9,00;42,00;27,00;18,00;39,00;42,00;0,00;84,00;22,50;18,00;27,00;45,00;36,00;9,00;27,00;13,50;6,75;3,00;23,00;3,00;21,00;6,00;6,00;3,00;0,00;5,14;0,00;11,57;0,00;3,00;0,00;3,00;3,00;0,00;0,00
2021-01-10;12,00;60,00;36,00;15,00;27,00;34,67;2,67;109,33;14,67;12,00;12,00;66,00;39,00;12,00;21,60;24,00;2,40;20,00;18,00;9,00;20,00;9,00;3,00;3,00;0,00;5,33;2,67;21,33;0,00;0,00;0,00;3,00;9,00;0,00;0,00
2021-01-17;6,00;33,00;21,00;12,00;18,00;37,50;0,00;75,00;15,00;15,00;24,00;30,00;48,00;8,00;16,00;16,00;2,00;6,00;9,00;14,00;26,00;9,00;20,00;3,00;3,00;0,00;0,00;16,50;0,00;0,00;0,00;0,00;3,00;0,00;0,00
2021-01-24;9,00;30,00;27,00;6,00;48,00;37,50;3,00;37,50;6,00;15,00;24,00;24,00;48,00;11,25;20,25;9,00;2,25;17,00;6,00;8,00;20,00;3,00;23,00;8,00;6,00;3,00;0,00;22,50;0,00;0,00;0,00;0,00;3,00;3,00;0,00
2021-01-31;11,00;24,75;16,50;13,75;27,50;31,63;0,00;28,88;13,75;5,50;30,25;52,25;46,75;8,80;19,80;13,20;8,80;17,00;11,00;3,00;11,00;0,00;9,00;14,00;3,00;0,00;2,44;11,00;3,00;0,00;3,00;0,00;3,00;6,00;0,00
2021-02-07;3,00;30,00;24,00;9,00;30,00;42,00;0,00;37,50;12,00;12,00;42,00;78,00;33,00;12,00;42,00;30,00;3,00;20,00;6,00;12,00;17,00;0,00;12,00;0,00;0,00;0,00;0,00;30,00;6,00;6,00;0,00;3,00;3,00;0,00;0,00
2021-02-14;3,00;78,00;18,00;9,00;30,00;40,50;0,00;6,00;24,00;6,00;15,00;69,00;33,00;15,00;33,00;21,00;3,00;12,00;18,00;18,00;15,00;6,00;12,00;6,00;3,00;3,00;7,50;24,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00
2021-02-21;9,00;51,00;42,00;12,00;24,00;33,43;0,00;23,14;9,00;15,00;15,00;96,00;27,00;11,25;27,00;2,25;2,25;12,00;6,00;9,00;12,00;0,00;12,00;6,00;6,00;2,57;0,00;20,57;0,00;0,00;0,00;0,00;9,00;0,00;0,00
2021-02-28;18,00;30,00;27,00;15,00;45,00;27,69;2,77;27,69;15,23;18,00;39,00;63,00;39,00;15,75;45,00;2,25;11,25;9,00;6,00;18,00;15,00;9,00;12,00;3,00;0,00;9,00;2,57;5,14;0,00;0,00;3,00;0,00;3,00;3,00;3,00
2021-03-07;3,00;48,00;18,00;0,00;36,00;48,00;0,00;48,00;19,50;12,00;18,00;66,00;63,00;18,00;24,00;12,00;18,00;14,00;12,00;3,00;12,00;0,00;9,00;6,00;14,00;13,50;6,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-14;5,00;47,50;15,00;10,00;30,00;22,50;0,00;35,00;20,00;7,50;22,50;40,00;47,50;12,50;25,00;17,50;10,00;19,00;5,00;8,00;13,00;3,00;16,00;11,00;3,00;0,00;0,00;17,50;8,00;5,00;0,00;0,00;0,00;0,00;0,00
2021-03-21;27,00;39,00;24,00;12,00;54,00;32,40;0,00;41,85;44,55;8,10;24,30;54,00;51,30;15,75;36,00;11,25;18,00;15,00;6,00;9,00;30,00;0,00;15,00;0,00;6,00;2,70;2,70;6,75;9,00;9,00;3,00;0,00;0,00;0,00;0,00
2021-03-28;6,00;18,00;24,00;3,00;54,00;8,40;0,00;39,60;31,20;6,00;30,00;42,00;87,00;12,00;14,00;8,00;6,00;16,00;13,00;16,00;19,00;10,00;6,00;13,00;3,00;2,40;0,00;8,40;3,00;0,00;3,00;0,00;3,00;3,00;0,00
2021-04-04;6,00;24,00;15,00;6,00;48,00;15,60;0,00;43,20;15,60;9,00;30,00;33,00;39,00;18,00;14,00;10,00;2,00;3,00;0,00;3,00;21,00;6,00;3,00;9,00;3,00;0,00;2,40;19,20;0,00;3,00;0,00;3,00;3,00;0,00;3,00
2021-04-11;12,00;42,00;42,00;15,00;69,00;25,33;0,00;22,67;20,00;15,00;21,00;48,00;33,00;14,40;19,20;24,00;9,60;9,00;9,00;9,00;6,00;0,00;12,00;6,00;3,00;14,67;5,33;12,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00
2021-04-18;15,00;27,00;27,00;18,00;57,00;53,18;0,00;39,55;24,55;27,00;39,00;66,00;18,00;8,57;19,29;15,00;2,14;9,00;12,00;9,00;18,00;3,00;9,00;0,00;3,00;12,27;6,82;6,82;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2021-04-25;9,00;39,00;39,00;15,00;63,00;31,50;0,00;61,50;42,00;12,00;21,00;48,00;30,00;6,75;49,50;13,50;9,00;9,00;9,00;9,00;26,00;3,00;12,00;6,00;6,00;5,14;2,57;5,14;3,00;0,00;6,00;3,00;3,00;0,00;0,00
2021-05-02;15,00;51,00;36,00;18,00;51,00;54,55;2,73;54,55;38,18;3,00;33,00;75,00;30,00;7,50;50,00;12,50;7,50;9,00;6,00;9,00;20,00;0,00;20,00;6,00;6,00;5,45;2,73;17,73;0,00;3,00;0,00;3,00;0,00;0,00;0,00
2021-05-09;12,00;36,00;39,00;6,00;72,00;68,00;2,67;41,33;46,67;21,00;30,00;81,00;36,00;12,00;50,40;19,20;19,20;30,00;3,00;12,00;18,00;6,00;24,00;6,00;0,00;12,00;2,67;24,00;0,00;6,00;0,00;3,00;12,00;0,00;0,00
2021-05-16;23,00;75,57;19,71;13,14;72,29;48,71;0,00;46,00;37,88;5,75;48,88;135,13;31,63;18,40;62,10;9,20;6,90;49,00;9,00;20,00;29,00;9,00;23,00;6,00;12,00;8,94;0,00;28,11;3,00;0,00;6,00;0,00;15,00;6,00;0,00
2021-05-23;22,00;66,00;40,86;9,43;75,43;61,88;0,00;37,13;71,50;11,00;33,00;96,25;27,50;24,20;57,20;26,40;15,40;31,00;6,00;6,00;15,00;21,00;34,00;6,00;0,00;12,38;2,75;22,00;0,00;3,00;3,00;6,00;6,00;3,00;0,00
2021-05-30;24,00;78,00;15,00;3,00;90,00;56,00;0,00;38,67;62,67;10,67;29,33;90,67;37,33;6,55;82,91;17,45;6,55;15,00;6,00;24,00;24,00;9,00;18,00;6,00;18,00;2,67;2,67;42,67;3,00;3,00;6,00;3,00;0,00;6,00;3,00
2021-06-06;27,00;60,00;30,00;12,00;75,00;47,25;2,70;35,10;41,85;27,00;32,40;126,90;51,30;9,00;81,00;24,75;15,75;51,00;15,00;21,00;15,00;15,00;45,00;12,00;3,00;2,70;0,00;27,00;6,00;6,00;3,00;6,00;9,00;0,00;3,00
2021-06-13;45,00;64,29;35,36;25,71;86,79;72,27;0,00;45,00;39,55;5,63;50,63;120,94;64,69;51,75;76,50;27,00;6,75;57,00;12,00;21,00;18,00;18,00;21,00;12,00;3,00;6,62;0,00;35,74;9,00;9,00;6,00;0,00;3,00;0,00;0,00
2021-06-20;33,00;75,00;30,00;21,00;78,00;72,88;0,00;35,75;45,38;24,75;79,75;88,00;66,00;41,80;88,00;46,20;17,60;33,00;12,00;18,00;15,00;15,00;36,00;6,00;9,00;11,88;0,00;26,40;3,00;3,00;6,00;6,00;6,00;3,00;3,00
2021-06-27;39,00;100,75;35,75;32,50;81,25;49,76;0,00;44,38;34,97;25,07;52,93;128,14;33,43;41,29;84,88;27,53;16,06;33,00;15,00;27,00;30,00;24,00;48,00;6,00;6,00;14,30;0,00;29,90;6,00;6,00;6,00;0,00;3,00;9,00;0,00
2021-07-04;47,00;125,33;21,93;47,00;162,93;61,77;0,00;40,29;64,46;35,94;47,00;107,82;52,53;47,00;111,90;26,86;26,86;34,00;9,00;16,00;16,00;28,00;44,00;12,00;6,00;9,14;0,00;45,69;6,00;19,00;3,00;0,00;16,00;3,00;6,00
2021-07-11;38,00;126,67;34,83;34,83;139,33;63,79;0,00;69,21;28,50;32,57;54,29;184,57;59,71;29,06;122,94;31,29;22,35;54,00;10,00;16,00;38,00;22,00;35,00;19,00;19,00;9,17;6,55;49,79;3,00;0,00;0,00;3,00;22,00;3,00;6,00
2021-07-18;50,00;137,50;18,75;25,00;109,38;93,06;0,00;68,06;101,39;25,00;72,22;144,44;50,00;18,18;134,09;27,27;20,45;60,00;32,00;39,00;14,00;18,00;53,00;14,00;7,00;10,53;6,58;67,11;4,00;4,00;11,00;4,00;14,00;0,00;7,00
2021-07-25;59,00;121,11;37,26;40,37;118,00;68,39;4,02;65,70;50,95;19,67;87,10;168,57;67,43;38,58;108,92;38,58;27,23;56,00;24,00;31,00;38,00;28,00;45,00;17,00;14,00;6,56;0,00;76,04;0,00;10,00;7,00;3,00;14,00;7,00;7,00
2021-08-01;51,00;108,38;70,13;51,00;140,25;71,68;6,89;41,35;48,24;22,67;56,67;161,50;56,67;42,13;113,09;46,57;42,13;64,00;13,00;27,00;30,00;24,00;20,00;24,00;20,00;10,74;17,45;37,58;7,00;17,00;3,00;3,00;7,00;0,00;3,00
2021-08-08;52,00;123,50;61,75;32,50;113,75;58,84;0,00;41,05;47,89;46,53;62,95;117,68;71,16;24,87;117,57;45,22;45,22;48,00;21,00;27,00;51,00;10,00;34,00;10,00;10,00;10,67;0,00;52,00;0,00;0,00;10,00;7,00;7,00;3,00;7,00
2021-08-15;13,00;100,75;61,75;45,50;117,00;54,89;7,22;33,22;47,67;5,20;88,40;106,60;39,00;36,83;71,50;36,83;34,67;32,00;19,00;26,00;16,00;10,00;42,00;3,00;6,00;9,10;2,60;62,40;0,00;3,00;6,00;0,00;3,00;0,00;0,00
2021-08-22;51,00;95,63;82,88;51,00;105,19;48,24;2,76;55,14;64,78;28,33;68,00;119,00;70,83;19,96;82,04;22,17;26,61;44,00;7,00;30,00;34,00;17,00;30,00;17,00;7,00;13,08;3,92;26,15;0,00;10,00;0,00;10,00;3,00;3,00;0,00
2021-08-29;30,00;126,67;73,33;10,00;136,67;65,45;0,00;76,36;79,09;30,00;68,18;141,82;38,18;23,08;71,54;39,23;9,23;36,00;7,00;10,00;26,00;20,00;33,00;20,00;0,00;2,61;2,61;32,61;0,00;3,00;0,00;0,00;16,00;0,00;0,00
2021-09-05;46,00;116,53;73,60;42,93;76,67;69,00;2,71;39,24;52,76;13,53;59,53;165,06;64,94;37,24;70,10;26,29;35,05;40,00;23,00;16,00;33,00;3,00;62,00;10,00;16,00;9,20;2,63;42,06;0,00;0,00;0,00;3,00;10,00;7,00;7,00
2021-09-12;47,00;128,47;84,60;28,20;94,00;71,17;0,00;64,46;47,00;22,12;52,53;129,94;107,82;40,29;96,24;40,29;6,71;69,00;36,00;40,00;25,00;4,00;29,00;7,00;14,00;14,36;3,92;35,25;0,00;4,00;4,00;7,00;11,00;0,00;7,00
