Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-05-17;15,00;9,00;6,00;35,00;0,00;2,00;4,00;2,00;4,00
2020-05-24;12,00;12,00;5,00;14,00;4,00;0,00;4,00;2,00;5,00
2020-05-31;12,00;14,00;2,00;32,00;2,00;0,00;5,00;0,00;2,00
2020-06-07;16,00;19,00;2,00;42,00;2,00;4,00;0,00;5,00;4,00
2020-06-14;100,00;14,00;5,00;17,00;2,00;2,00;4,00;0,00;0,00
2020-06-21;17,00;11,00;2,00;21,00;0,00;0,00;0,00;0,00;0,00
2020-06-28;16,00;13,00;2,00;29,00;2,00;2,00;2,00;5,00;0,00
2020-07-05;15,00;9,00;9,00;36,00;0,00;0,00;4,00;6,00;0,00
2020-07-12;16,00;14,00;10,00;33,00;0,00;0,00;4,00;4,00;4,00
2020-07-19;20,00;10,00;2,00;29,00;2,00;0,00;2,00;0,00;0,00
2020-07-26;14,00;4,00;6,00;18,00;2,00;2,00;6,00;0,00;0,00
2020-08-02;14,00;6,00;8,00;26,00;0,00;0,00;4,00;2,00;2,00
2020-08-09;23,00;14,00;4,00;21,00;2,00;0,00;8,00;4,00;0,00
2020-08-16;16,00;6,00;2,00;36,00;2,00;2,00;4,00;2,00;2,00
2020-08-23;4,00;33,00;4,00;33,00;4,00;0,00;0,00;4,00;0,00
2020-08-30;21,00;12,00;4,00;15,00;0,00;4,00;4,00;0,00;2,00
2020-09-06;37,00;14,00;14,00;35,00;0,00;2,00;6,00;6,00;4,00
2020-09-13;12,00;6,00;8,00;22,00;0,00;0,00;2,00;0,00;4,00
2020-09-20;12,00;12,00;4,00;19,00;0,00;0,00;6,00;0,00;2,00
2020-09-27;10,00;23,00;8,00;21,00;0,00;2,00;4,00;2,00;2,00
2020-10-04;18,00;10,00;2,00;27,00;0,00;2,00;6,00;0,00;6,00
2020-10-11;8,00;8,00;2,00;30,00;0,00;2,00;6,00;0,00;0,00
2020-10-18;6,00;8,00;0,00;26,00;0,00;2,00;4,00;2,00;0,00
2020-10-25;10,00;10,00;6,00;19,00;0,00;2,00;0,00;4,00;0,00
2020-11-01;5,00;7,00;5,00;13,00;4,00;0,00;5,00;0,00;4,00
2020-11-08;10,00;8,00;2,00;20,00;0,00;0,00;2,00;6,00;4,00
2020-11-15;23,00;12,00;2,00;23,00;2,00;2,00;0,00;0,00;4,00
2020-11-22;13,00;4,00;2,00;13,00;2,00;0,00;2,00;0,00;2,00
2020-11-29;19,00;6,00;8,00;11,00;0,00;2,00;0,00;2,00;0,00
2020-12-06;8,00;4,00;6,00;11,00;2,00;0,00;2,00;6,00;0,00
2020-12-13;8,00;27,00;13,00;40,00;2,00;4,00;2,00;11,00;0,00
2020-12-20;15,00;11,00;2,00;42,00;4,00;0,00;0,00;0,00;0,00
2020-12-27;19,00;13,00;6,00;23,00;0,00;8,00;4,00;4,00;2,00
2021-01-03;13,00;13,00;15,00;30,00;2,00;4,00;13,00;6,00;2,00
2021-01-10;15,00;13,00;9,00;16,00;0,00;11,00;4,00;2,00;2,00
2021-01-17;13,00;20,00;5,00;29,00;4,00;0,00;2,00;4,00;0,00
2021-01-24;16,00;7,00;7,00;20,00;2,00;4,00;9,00;0,00;2,00
2021-01-31;14,00;14,00;14,00;29,00;2,00;4,00;4,00;4,00;4,00
2021-02-07;9,00;13,00;2,00;38,00;0,00;0,00;2,00;5,00;2,00
2021-02-14;17,00;17,00;6,00;21,00;0,00;2,00;4,00;9,00;2,00
2021-02-21;11,00;13,00;6,00;19,00;0,00;0,00;2,00;0,00;2,00
2021-02-28;9,00;7,00;2,00;17,00;4,00;4,00;4,00;0,00;0,00
2021-03-07;13,00;16,00;2,00;18,00;2,00;2,00;2,00;4,00;4,00
2021-03-14;17,00;7,00;2,00;31,00;2,00;2,00;2,00;0,00;0,00
2021-03-21;7,00;6,00;6,00;15,00;4,00;0,00;2,00;2,00;2,00
2021-03-28;6,00;0,00;6,00;16,00;0,00;2,00;0,00;0,00;2,00
2021-04-04;8,00;8,00;2,00;15,00;0,00;0,00;4,00;0,00;2,00
2021-04-11;25,00;5,00;5,00;27,00;0,00;2,00;25,00;5,00;4,00
2021-04-18;20,00;11,00;0,00;18,00;2,00;7,00;0,00;2,00;0,00
2021-04-25;9,00;9,00;0,00;20,00;2,00;2,00;6,00;2,00;6,00
2021-05-02;4,00;12,00;5,00;18,00;2,00;0,00;9,00;2,00;0,00
2021-05-09;11,00;11,00;9,00;21,00;2,00;0,00;0,00;2,00;0,00
2021-05-16;4,00;4,00;5,00;34,00;2,00;2,00;4,00;0,00;4,00
2021-05-23;8,00;15,00;4,00;28,00;9,00;4,00;0,00;0,00;0,00
2021-05-30;10,00;8,00;12,00;34,00;6,00;0,00;8,00;0,00;0,00
2021-06-06;31,00;15,00;13,00;15,00;0,00;2,00;2,00;4,00;0,00
2021-06-13;20,00;10,00;4,00;37,00;2,00;2,00;10,00;4,00;0,00
2021-06-20;12,00;10,00;8,00;21,00;0,00;2,00;20,00;6,00;0,00
2021-06-27;10,00;14,00;8,00;33,00;4,00;0,00;2,00;2,00;0,00
2021-07-04;24,00;6,00;8,00;18,00;0,00;0,00;12,00;2,00;2,00
2021-07-11;14,00;6,00;2,00;26,00;4,00;0,00;4,00;2,00;4,00
2021-07-18;11,00;15,00;4,00;24,00;0,00;2,00;4,00;0,00;2,00
2021-07-25;29,00;8,00;8,00;29,00;2,00;0,00;2,00;0,00;0,00
2021-08-01;19,00;13,00;4,00;30,00;2,00;2,00;0,00;0,00;0,00
2021-08-08;28,00;13,00;2,00;26,00;2,00;0,00;0,00;2,00;0,00
2021-08-15;32,00;15,00;2,00;32,00;2,00;0,00;4,00;6,00;0,00
2021-08-22;29,00;7,00;4,00;27,00;0,00;2,00;0,00;4,00;0,00
2021-08-29;12,00;20,00;0,00;32,00;0,00;0,00;0,00;0,00;2,00
