Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-05-17;43,00;9,00;10,00;12,00;1,00;12,00;3,00;10,00;5,00
2020-05-24;43,00;7,00;7,00;11,00;2,00;10,00;1,00;11,00;5,00
2020-05-31;47,00;12,00;12,00;7,00;1,00;14,00;2,00;12,00;3,00
2020-06-07;54,00;12,00;12,00;7,00;2,00;8,00;3,00;17,00;6,00
2020-06-14;44,00;11,00;13,00;4,00;1,00;8,00;3,00;11,00;8,00
2020-06-21;62,00;5,00;10,00;5,00;1,00;11,00;7,00;13,00;5,00
2020-06-28;42,00;13,00;9,00;10,00;2,00;11,00;2,00;9,00;9,00
2020-07-05;42,00;11,00;7,00;7,00;2,00;14,00;2,00;8,00;4,00
2020-07-12;49,00;9,00;7,00;8,00;2,00;12,00;2,00;13,00;5,00
2020-07-19;58,00;14,00;7,00;19,00;1,00;12,00;2,00;9,00;9,00
2020-07-26;52,00;11,00;10,00;27,00;1,00;14,00;3,00;12,00;7,00
2020-08-02;64,00;11,00;13,00;11,00;1,00;13,00;3,00;12,00;4,00
2020-08-09;56,00;10,00;7,00;12,00;1,00;18,00;2,00;18,00;4,00
2020-08-16;44,00;11,00;7,00;7,00;0,00;13,00;5,00;9,00;7,00
2020-08-23;46,00;8,00;10,00;5,00;1,00;13,00;2,00;16,00;7,00
2020-08-30;50,00;10,00;6,00;11,00;1,00;11,00;1,00;9,00;4,00
2020-09-06;53,00;8,00;9,00;11,00;1,00;19,00;2,00;13,00;6,00
2020-09-13;54,00;14,00;9,00;11,00;1,00;14,00;2,00;10,00;5,00
2020-09-20;39,00;7,00;6,00;11,00;2,00;8,00;2,00;10,00;4,00
2020-09-27;34,00;9,00;11,00;10,00;1,00;12,00;1,00;13,00;7,00
2020-10-04;52,00;8,00;11,00;7,00;3,00;16,00;1,00;10,00;15,00
2020-10-11;56,00;12,00;11,00;8,00;4,00;14,00;3,00;8,00;4,00
2020-10-18;51,00;9,00;15,00;10,00;3,00;12,00;2,00;10,00;5,00
2020-10-25;52,00;7,00;8,00;8,00;2,00;12,00;2,00;6,00;7,00
2020-11-01;33,00;7,00;7,00;6,00;2,00;12,00;1,00;9,00;6,00
2020-11-08;41,00;9,00;12,00;6,00;1,00;14,00;2,00;11,00;4,00
2020-11-15;47,00;10,00;10,00;7,00;2,00;19,00;1,00;7,00;6,00
2020-11-22;49,00;5,00;10,00;7,00;4,00;13,00;2,00;8,00;5,00
2020-11-29;51,00;12,00;7,00;11,00;1,00;15,00;4,00;11,00;7,00
2020-12-06;49,00;9,00;7,00;12,00;1,00;11,00;4,00;12,00;7,00
2020-12-13;52,00;9,00;10,00;19,00;1,00;10,00;1,00;11,00;7,00
2020-12-20;52,00;6,00;10,00;20,00;1,00;14,00;2,00;13,00;3,00
2020-12-27;72,00;5,00;12,00;16,00;2,00;35,00;3,00;17,00;5,00
2021-01-03;55,00;14,00;11,00;5,00;0,00;25,00;2,00;13,00;3,00
2021-01-10;55,00;11,00;6,00;14,00;1,00;19,00;1,00;22,00;4,00
2021-01-17;57,00;8,00;9,00;13,00;1,00;32,00;2,00;14,00;4,00
2021-01-24;59,00;11,00;6,00;11,00;2,00;19,00;3,00;15,00;4,00
2021-01-31;43,00;9,00;9,00;13,00;3,00;20,00;1,00;16,00;8,00
2021-02-07;41,00;7,00;7,00;8,00;1,00;9,00;2,00;12,00;7,00
2021-02-14;45,00;7,00;9,00;10,00;1,00;15,00;2,00;15,00;6,00
2021-02-21;38,00;11,00;8,00;12,00;1,00;20,00;4,00;16,00;7,00
2021-02-28;47,00;7,00;16,00;11,00;4,00;15,00;1,00;16,00;8,00
2021-03-07;59,00;7,00;14,00;14,00;2,00;24,00;4,00;17,00;9,00
2021-03-14;49,00;10,00;8,00;8,00;0,00;18,00;2,00;27,00;7,00
