Semaine;Nice (FR);Paris (FR);London (GB);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2020-11-15;4,00;80,00;88,00;16,00;32,00;12,00;48,00;32,00;44,00;48,00;32,00;144,00;18,00;18,00;10,00;0,00;20,00;20,00;10,00;14,00;4,00;6,67;0,00;4,00;0,00;11,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
2020-11-22;11,00;110,00;176,00;55,00;22,00;0,00;33,00;44,00;14,67;29,33;0,00;51,33;13,20;30,80;13,20;6,60;26,71;37,71;3,14;18,86;4,13;6,88;15,13;4,13;0,00;0,00;0,00;7,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00
2020-11-29;20,00;90,00;140,00;10,00;34,29;0,00;42,86;28,57;24,00;44,00;12,00;84,00;32,50;22,50;20,00;0,00;7,69;4,62;7,69;12,31;4,29;4,29;22,86;7,14;4,21;4,21;4,21;12,63;4,00;0,00;0,00;0,00;0,00;4,00;0,00
2020-12-06;4,00;88,00;104,00;40,00;60,00;0,00;44,00;60,00;24,00;44,00;44,00;60,00;22,00;32,00;22,00;0,00;10,67;24,00;0,00;13,33;4,00;18,67;14,67;10,67;0,00;8,00;4,00;19,00;8,00;0,00;0,00;0,00;4,00;0,00;0,00
2020-12-13;11,00;88,00;165,00;33,00;11,00;2,75;13,75;19,25;25,67;47,67;29,33;55,00;0,00;26,40;0,00;0,00;11,00;37,71;3,14;11,00;6,88;15,13;11,00;6,88;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;4,00
2020-12-20;4,00;88,00;136,00;32,00;36,00;0,00;64,00;24,00;20,00;20,00;36,00;76,00;6,00;6,00;20,00;4,00;14,67;21,33;0,00;14,67;8,00;8,00;12,00;4,00;4,00;8,00;8,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-27;0,00;11,00;11,00;3,00;16,00;1,00;16,00;13,00;12,00;9,00;2,00;14,00;8,00;10,00;15,00;0,00;16,00;18,00;0,00;3,00;3,00;29,00;14,00;11,00;4,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;4,00;4,00;0,00
2021-01-03;4,00;96,00;112,00;48,00;84,00;4,00;172,00;36,00;32,00;48,00;20,00;80,00;12,00;20,00;8,00;0,00;20,00;34,00;4,00;20,00;0,00;28,00;17,33;13,33;0,00;0,00;0,00;4,00;7,00;7,00;0,00;0,00;4,00;0,00;0,00
2021-01-10;15,00;135,00;315,00;45,00;27,00;0,00;105,00;36,00;33,75;63,75;22,50;82,50;22,50;25,00;15,00;5,00;18,00;7,50;7,50;15,00;0,00;7,50;19,50;19,50;0,00;7,00;0,00;11,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00
2021-01-17;7,00;77,00;56,00;42,00;14,00;0,00;63,00;18,67;35,00;35,00;28,00;31,50;23,33;21,00;14,00;2,33;9,80;23,80;2,80;12,60;0,00;14,00;18,20;7,00;4,00;7,00;7,00;7,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00
2021-01-24;7,00;35,00;77,00;28,00;23,33;0,00;35,00;14,00;28,00;52,50;17,50;31,50;7,00;14,00;16,33;0,00;7,00;29,40;2,80;9,80;7,00;14,00;4,20;0,00;0,00;4,00;4,00;11,00;0,00;4,00;0,00;0,00;7,00;0,00;0,00
2021-01-31;18,00;144,00;144,00;72,00;51,00;0,00;66,00;39,00;32,40;25,20;32,40;28,80;18,00;25,71;10,29;0,00;25,50;10,50;3,00;10,50;0,00;13,85;20,77;11,08;0,00;0,00;4,00;22,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00
2021-02-07;12,00;84,00;84,00;48,00;42,00;3,00;30,00;24,00;16,00;64,00;28,00;60,00;26,40;31,20;19,20;0,00;12,00;19,50;4,50;22,50;4,50;21,00;7,50;7,50;0,00;0,00;12,00;15,00;19,00;0,00;0,00;0,00;4,00;0,00;4,00
2021-02-14;12,00;156,00;132,00;72,00;27,00;9,00;36,00;15,00;28,00;60,00;32,00;92,00;33,60;38,40;0,00;7,20;22,50;15,00;7,50;15,00;4,50;24,00;4,50;12,00;0,00;0,00;8,00;19,00;0,00;0,00;4,00;4,00;12,00;8,00;0,00
2021-02-21;12,00;144,00;108,00;36,00;27,00;9,00;27,00;24,00;24,00;48,00;16,00;28,00;12,00;38,40;7,20;4,80;15,00;7,50;0,00;7,50;12,00;16,50;7,50;24,00;8,00;0,00;4,00;8,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00
2021-02-28;0,00;9,00;10,00;7,00;25,00;4,00;9,00;7,00;6,00;10,00;6,00;22,00;11,00;23,00;3,00;2,00;7,00;19,00;2,00;5,00;8,00;21,00;8,00;8,00;4,00;7,00;4,00;11,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00
2021-03-07;15,00;150,00;120,00;120,00;33,00;0,00;42,00;24,00;30,00;33,75;15,00;45,00;30,00;25,00;17,50;10,00;23,33;11,67;0,00;11,67;4,50;19,50;7,50;19,50;4,00;11,00;0,00;4,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00
2021-03-14;10,00;120,00;60,00;60,00;37,50;0,00;30,00;22,50;26,67;33,33;23,33;96,67;15,00;17,50;27,50;0,00;10,00;15,71;2,86;20,00;7,14;17,14;2,86;10,00;3,00;10,00;0,00;14,00;3,00;3,00;3,00;0,00;7,00;0,00;0,00
2021-03-21;4,00;56,00;64,00;40,00;32,00;0,00;80,00;48,00;28,00;32,00;24,00;64,00;16,00;46,00;16,00;0,00;34,00;24,00;0,00;14,00;4,00;10,67;13,33;10,67;0,00;4,00;0,00;11,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00
2021-03-28;12,00;108,00;72,00;48,00;27,00;0,00;45,00;36,00;20,00;20,00;24,00;104,00;7,20;14,40;14,40;7,20;27,00;27,00;0,00;7,50;0,00;4,50;0,00;12,00;4,00;0,00;4,00;4,00;4,00;8,00;0,00;0,00;4,00;0,00;0,00
2021-04-04;7,00;63,00;70,00;28,00;32,67;0,00;44,33;28,00;52,50;28,00;24,50;77,00;30,33;44,33;7,00;0,00;19,60;40,60;2,80;7,00;7,00;29,40;7,00;11,20;7,00;7,00;4,00;11,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00
2021-04-11;8,00;64,00;80,00;48,00;61,33;0,00;45,33;32,00;20,00;48,00;20,00;76,00;24,00;48,00;21,33;8,00;27,20;35,20;0,00;24,00;20,80;17,60;12,80;17,60;0,00;8,00;0,00;15,00;8,00;4,00;0,00;0,00;4,00;0,00;0,00
2021-04-18;12,00;96,00;108,00;72,00;15,00;3,00;81,00;48,00;40,00;56,00;16,00;104,00;21,60;26,40;21,60;4,80;7,50;22,50;0,00;15,00;7,50;16,50;12,00;12,00;0,00;4,00;0,00;8,00;8,00;0,00;8,00;8,00;0,00;4,00;4,00
2021-04-25;24,00;132,00;84,00;84,00;30,00;9,00;45,00;15,00;40,00;60,00;32,00;72,00;19,20;52,80;12,00;7,20;24,00;12,80;8,00;12,80;8,47;4,24;15,53;15,53;0,00;12,52;4,17;12,52;4,00;0,00;0,00;0,00;12,00;0,00;0,00
2021-05-02;19,00;247,00;190,00;133,00;43,43;2,71;67,86;46,14;57,00;68,40;38,00;57,00;21,38;28,50;26,13;7,13;34,83;23,75;3,17;7,92;4,38;16,08;30,69;7,31;8,00;11,00;11,00;8,00;0,00;0,00;4,00;0,00;8,00;0,00;0,00
2021-05-09;19,00;228,00;171,00;190,00;40,71;2,71;38,00;92,29;60,80;64,60;38,00;57,00;11,88;26,13;21,38;0,00;55,54;29,23;11,69;11,69;0,00;6,79;10,86;4,07;15,00;8,00;8,00;8,00;0,00;0,00;4,00;4,00;8,00;0,00;0,00
2021-05-16;7,00;112,00;84,00;84,00;42,00;2,33;51,33;63,00;42,00;73,50;35,00;63,00;28,00;49,00;21,00;7,00;37,80;37,80;2,80;23,80;4,20;14,00;11,20;14,00;30,00;33,00;7,00;18,00;7,00;11,00;0,00;0,00;19,00;0,00;0,00
2021-05-23;38,00;215,33;177,33;139,33;73,08;2,92;67,23;116,92;24,18;65,64;51,82;110,55;35,63;52,25;140,13;11,88;41,04;7,60;0,00;18,24;18,30;30,96;22,52;26,74;11,00;4,00;4,00;15,00;15,00;8,00;4,00;11,00;65,00;0,00;4,00
2021-05-30;43,00;272,33;200,67;172,00;74,53;11,47;45,87;94,60;32,25;78,83;46,58;118,25;53,12;60,71;40,47;7,59;30,71;15,36;4,61;19,96;22,93;35,83;15,77;15,77;12,00;15,00;0,00;12,00;4,00;8,00;4,00;8,00;8,00;8,00;0,00
2021-06-06;43,00;344,00;186,33;129,00;80,27;8,60;43,00;103,20;39,42;78,83;57,33;60,92;19,11;71,67;45,39;7,17;39,93;30,71;27,64;19,96;15,26;38,84;26,35;30,52;16,00;0,00;16,00;23,00;0,00;8,00;0,00;4,00;12,00;4,00;0,00
2021-06-13;27,00;391,50;189,00;189,00;93,00;12,00;81,00;117,00;50,14;104,14;65,57;104,14;105,55;88,36;71,18;7,36;55,59;55,59;11,12;27,00;15,63;38,37;27,00;22,74;27,00;15,00;15,00;11,00;4,00;4,00;4,00;8,00;11,00;4,00;0,00
2021-06-20;64,00;422,40;204,80;179,20;133,82;2,91;87,27;197,82;53,33;60,44;96,00;135,11;228,92;113,23;71,38;19,69;29,66;34,34;23,41;18,73;22,76;41,24;29,87;25,60;26,41;19,30;7,11;15,24;7,00;7,00;11,00;7,00;8,00;0,00;8,00
2021-06-27;53,00;516,75;212,00;159,00;159,00;13,95;78,11;184,11;56,53;187,27;84,80;84,80;219,23;108,41;60,23;4,82;57,68;35,85;17,15;14,03;31,51;84,51;35,81;44,41;9,00;26,00;9,00;52,00;4,00;0,00;9,00;22,00;18,00;4,00;13,00
