Hotel;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;29,00;40,00;57,00;45,00;51,00;44,04;37,59;58,00;22,56
2019-01-13;29,00;38,00;60,00;43,00;54,00;47,26;36,52;55,85;23,63
2019-01-20;30,00;38,00;61,00;41,00;52,00;46,67;35,56;53,33;24,44
2019-01-27;30,00;36,00;61,00;41,00;58,00;48,89;35,56;50,00;23,33
2019-02-03;32,00;37,00;59,00;41,00;62,00;44,80;36,27;50,13;23,47
2019-02-10;32,00;37,00;60,00;39,00;61,00;46,93;33,07;50,13;25,60
2019-02-17;33,00;34,00;60,00;36,00;62,00;50,60;34,10;49,50;25,30
2019-02-24;32,00;36,00;57,00;36,00;64,00;52,27;32,00;45,87;24,53
2019-03-03;34,00;36,00;56,00;37,00;59,00;50,45;31,81;50,45;27,42
2019-03-10;31,00;35,00;55,00;37,00;62,00;53,14;32,11;46,50;29,89
2019-03-17;33,00;37,00;57,00;36,00;64,00;52,80;31,90;50,60;26,40
2019-03-24;31,00;33,00;54,00;37,00;64,00;54,52;31,00;47,03;26,72
2019-03-31;33,00;36,00;56,00;35,00;58,00;52,80;33,00;47,30;27,50
2019-04-07;34,00;36,00;60,00;35,00;64,00;55,94;34,00;53,74;25,23
2019-04-14;32,00;36,00;59,00;37,00;63,00;52,97;30,90;47,45;25,38
2019-04-21;30,00;33,00;57,00;35,00;56,00;60,00;30,00;46,07;24,64
2019-04-28;32,00;35,00;60,00;36,00;57,00;50,13;35,20;49,07;25,60
2019-05-05;30,00;32,00;54,00;35,00;64,00;53,57;31,07;48,21;24,64
2019-05-12;29,00;33,00;53,00;37,00;62,00;50,48;31,15;48,33;25,78
2019-05-19;30,00;34,00;51,00;37,00;62,00;52,22;33,33;56,67;31,11
2019-05-26;31,00;34,00;58,00;37,00;70,00;54,25;34,32;58,68;32,11
2019-06-02;32,00;34,00;60,00;39,00;72,00;70,40;32,00;52,27;28,80
2019-06-09;31,00;36,00;61,00;42,00;73,00;74,83;33,14;52,38;29,93
2019-06-16;33,00;37,00;60,00;41,00;82,00;82,50;35,20;56,10;33,00
2019-06-23;32,00;37,00;62,00;40,00;84,00;84,27;30,93;54,40;32,00
2019-06-30;32,00;43,00;65,00;41,00;91,00;90,48;37,52;56,28;34,21
2019-07-07;35,00;47,00;68,00;45,00;91,00;86,41;41,56;57,97;32,81
2019-07-14;37,00;50,00;73,00;44,00;91,00;85,21;44,85;58,30;34,76
2019-07-21;38,00;49,00;73,00;45,00;94,00;87,94;43,43;56,46;32,57
2019-07-28;41,00;47,00;69,00;44,00;98,00;89,55;43,16;57,18;31,29
2019-08-04;44,00;44,00;63,00;46,00;99,00;99,00;42,90;59,40;31,90
2019-08-11;44,00;45,00;59,00;44,00;100,00;101,20;40,70;57,20;29,70
2019-08-18;38,00;42,00;57,00;46,00;93,00;85,77;42,34;57,54;27,14
2019-08-25;33,00;37,00;60,00;42,00;77,00;68,20;33,00;53,90;27,50
2019-09-01;32,00;33,00;61,00;40,00;72,00;58,48;35,31;64,00;28,69
2019-09-08;33,00;38,00;62,00;41,00;62,00;58,30;34,10;66,00;27,50
2019-09-15;31,00;35,00;58,00;41,00;58,00;52,04;36,54;62,00;28,79
2019-09-22;30,00;34,00;56,00;40,00;61,00;45,56;32,22;62,22;28,89
2019-09-29;30,00;33,00;61,00;41,00;59,00;43,33;32,22;57,78;28,89
2019-10-06;28,00;32,00;55,00;38,00;58,00;42,00;33,38;59,23;26,92
2019-10-13;28,00;31,00;57,00;36,00;59,00;39,85;33,38;54,92;24,77
2019-10-20;28,00;33,00;46,00;35,00;53,00;38,77;31,23;51,69;23,69
