Semaine;London (GB);Paris (FR);Amsterdam (NL);Roma (IT);Lille (FR);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2020-11-29;18,00;15,43;2,57;13,00;0,50;5,00;6,00;4,00;3,00;9,00;4,00;4,00;6,00;2,00;1,00;3,00;1,00;3,00;2,00;3,00;3,00;0,00;1,00;1,00;0,50;2,00;1,00;1,00;1,00;0,50;0,50;0,00;0,50
2020-12-06;19,00;12,67;2,53;17,00;1,00;4,00;7,00;4,00;3,00;16,00;2,00;9,00;6,00;1,00;2,00;5,00;1,00;2,00;0,50;3,00;3,00;1,00;2,00;1,00;1,00;1,00;1,00;1,00;0,50;0,00;1,00;0,50;0,00
2020-12-13;24,00;15,16;2,53;11,00;0,00;4,00;6,00;4,00;4,00;10,00;4,00;7,00;6,00;0,50;2,00;5,00;1,00;3,00;2,00;2,00;4,00;0,00;1,00;2,00;1,00;2,00;1,00;1,00;0,00;0,50;0,50;0,00;0,00
2020-12-20;29,00;16,39;3,78;15,00;0,50;3,00;6,00;4,00;5,00;9,00;5,00;5,00;5,00;1,00;1,00;4,00;1,00;2,00;1,00;1,00;1,00;1,00;0,50;1,00;1,00;1,00;1,00;1,00;0,50;0,00;0,50;0,00;0,00
2020-12-27;23,00;11,50;5,11;16,00;0,00;3,00;5,00;6,00;3,00;7,00;2,00;4,00;18,00;0,00;1,00;6,00;1,00;2,00;1,00;1,00;3,00;1,00;1,00;1,00;0,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00;0,50
2021-01-03;19,00;15,20;2,53;19,00;0,00;2,00;6,00;3,00;4,00;9,00;3,00;4,00;4,00;1,00;1,00;6,00;1,00;4,00;0,50;1,00;3,00;1,00;1,00;2,00;1,00;1,00;1,00;0,00;1,00;0,00;1,00;0,00;0,50
2021-01-10;16,00;17,23;2,46;15,00;1,00;2,00;5,00;3,00;3,00;11,00;5,00;7,00;4,00;1,00;1,00;7,00;1,00;3,00;1,00;2,00;2,00;1,00;1,00;1,00;0,50;1,00;1,00;1,00;0,50;1,00;0,50;0,00;0,00
2021-01-17;14,00;15,27;5,09;15,00;0,00;2,00;6,00;5,00;5,00;10,00;2,00;4,00;5,00;0,50;1,00;4,00;1,00;2,00;1,00;2,00;3,00;1,00;1,00;1,00;0,50;2,00;1,00;0,00;1,00;0,00;1,00;0,00;0,00
2021-01-24;15,00;12,50;2,50;12,00;0,50;4,00;5,00;5,00;5,00;10,00;5,00;6,00;5,00;0,50;1,00;3,00;0,50;2,00;1,00;1,00;5,00;0,50;0,50;1,00;0,00;0,50;0,50;0,00;0,00;0,00;0,50;0,00;0,00
2021-01-31;11,00;11,00;2,44;20,00;0,50;3,00;5,00;5,00;2,00;12,00;3,00;6,00;5,00;0,50;1,00;2,00;0,50;3,00;1,00;0,50;3,00;1,00;1,00;0,50;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
2021-02-07;12,00;16,80;3,60;16,00;0,50;3,00;7,00;3,00;5,00;14,00;3,00;5,00;4,00;0,50;2,00;4,00;1,00;1,00;1,00;1,00;2,00;0,50;1,00;0,50;1,00;1,00;1,00;0,50;0,50;0,50;0,00;0,00;0,00
2021-02-14;15,00;17,50;5,00;14,00;0,50;3,00;5,00;5,00;4,00;13,00;3,00;7,00;3,00;0,50;1,00;3,00;1,00;2,00;1,00;2,00;2,00;0,50;0,50;0,50;0,00;2,00;1,00;1,00;0,00;0,00;0,50;0,00;0,00
2021-02-21;16,00;12,31;2,46;15,00;1,00;2,00;5,00;7,00;4,00;14,00;3,00;6,00;5,00;1,00;2,00;4,00;1,00;2,00;1,00;2,00;3,00;1,00;1,00;1,00;0,00;1,00;1,00;1,00;1,00;0,50;0,50;0,00;0,00
2021-02-28;15,00;15,00;2,50;17,00;0,50;3,00;5,00;4,00;4,00;11,00;1,00;8,00;5,00;0,50;2,00;4,00;1,00;4,00;1,00;2,00;3,00;0,50;1,00;1,00;1,00;2,00;0,00;1,00;0,00;0,00;0,50;0,00;0,00
2021-03-07;17,00;17,00;3,92;15,00;0,00;3,00;5,00;4,00;3,00;10,00;3,00;5,00;5,00;1,00;1,00;4,00;1,00;4,00;1,00;1,00;3,00;1,00;2,00;1,00;1,00;2,00;1,00;1,00;0,50;0,50;1,00;0,00;0,00
2021-03-14;12,00;16,00;1,33;15,00;0,50;3,00;5,00;5,00;4,00;13,00;3,00;5,00;4,00;0,50;1,00;3,00;1,00;2,00;1,00;2,00;2,00;1,00;1,00;0,50;0,50;1,00;1,00;0,50;0,50;0,50;0,50;0,00;0,00
2021-03-21;12,00;13,20;2,40;16,00;0,00;3,00;4,00;3,00;4,00;16,00;3,00;5,00;5,00;1,00;1,00;4,00;0,50;3,00;1,00;1,00;1,00;1,00;1,00;1,00;0,50;1,00;0,00;1,00;0,50;0,00;0,50;0,00;0,00
2021-03-28;15,00;13,75;2,50;13,00;0,00;2,00;5,00;5,00;4,00;16,00;3,00;4,00;4,00;1,00;1,00;5,00;1,00;4,00;1,00;1,00;2,00;0,50;0,00;1,00;1,00;1,00;0,50;0,50;1,00;0,00;1,00;0,00;0,00
2021-04-04;12,00;9,33;2,67;13,00;0,50;2,00;4,00;2,00;3,00;15,00;3,00;5,00;4,00;0,50;1,00;4,00;1,00;2,00;0,50;2,00;1,00;1,00;1,00;1,00;1,00;2,00;1,00;0,50;1,00;0,00;1,00;0,00;0,50
2021-04-11;17,00;11,77;2,62;16,00;0,50;2,00;5,00;3,00;4,00;14,00;3,00;6,00;4,00;0,50;3,00;3,00;1,00;2,00;1,00;2,00;3,00;1,00;1,00;2,00;0,50;2,00;1,00;1,00;0,50;0,00;1,00;0,00;0,00
2021-04-18;15,00;12,27;4,09;13,00;0,00;4,00;4,00;5,00;4,00;11,00;3,00;5,00;4,00;1,00;1,00;3,00;1,00;2,00;1,00;1,00;3,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,50;0,00;1,00;0,00;0,00
2021-04-25;14,00;16,55;2,55;19,00;0,00;3,00;4,00;5,00;5,00;11,00;4,00;7,00;4,00;0,50;2,00;2,00;1,00;3,00;1,00;2,00;2,00;0,50;0,50;0,50;0,50;1,00;0,50;1,00;1,00;0,50;2,00;0,00;0,00
2021-05-02;13,00;18,20;2,60;15,00;0,00;9,00;6,00;4,00;3,00;10,00;1,00;9,00;6,00;1,00;4,00;4,00;1,00;3,00;1,00;2,00;3,00;0,00;2,00;2,00;1,00;1,00;1,00;0,50;1,00;0,50;0,50;0,00;0,50
2021-05-09;15,00;17,50;3,75;25,00;1,00;6,00;4,00;6,00;5,00;10,00;3,00;6,00;6,00;1,00;2,00;7,00;2,00;2,00;2,00;2,00;3,00;1,00;1,00;1,00;1,00;2,00;1,00;0,00;0,50;0,00;1,00;0,50;0,00
2021-05-16;18,00;19,29;2,57;24,00;1,00;6,00;7,00;5,00;6,00;10,00;6,00;9,00;4,00;1,00;3,00;5,00;1,00;1,00;2,00;1,00;3,00;1,00;1,00;4,00;0,00;1,00;2,00;0,50;1,00;0,00;3,00;0,00;0,50
2021-05-23;21,00;24,94;3,94;27,00;1,00;10,00;6,00;6,00;6,00;11,00;2,00;12,00;5,00;1,00;3,00;3,00;3,00;2,00;1,00;2,00;2,00;1,00;1,00;2,00;0,50;1,00;1,00;1,00;1,00;0,50;1,00;0,00;0,00
2021-05-30;16,00;25,33;5,33;19,00;0,50;8,00;7,00;7,00;8,00;12,00;2,00;9,00;7,00;1,00;4,00;6,00;1,00;4,00;3,00;3,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;2,00;0,00;0,50
2021-06-06;16,00;26,67;5,33;25,00;0,00;11,00;6,00;5,00;8,00;10,00;8,00;8,00;6,00;1,00;3,00;7,00;2,00;2,00;1,00;3,00;4,00;1,00;3,00;3,00;1,00;1,00;2,00;2,00;1,00;0,00;1,00;1,00;0,00
2021-06-13;18,00;25,71;6,43;27,00;0,50;15,00;7,00;5,00;5,00;9,00;7,00;12,00;7,00;1,00;4,00;6,00;2,00;3,00;2,00;3,00;4,00;1,00;1,00;2,00;0,50;2,00;1,00;0,00;2,00;0,00;1,00;0,00;1,00
2021-06-20;20,00;23,75;5,00;29,00;0,00;9,00;9,00;7,00;8,00;14,00;9,00;16,00;5,00;1,00;3,00;8,00;1,00;3,00;1,00;2,00;3,00;2,00;3,00;2,00;1,00;1,00;3,00;1,00;1,00;0,00;2,00;1,00;0,50
2021-06-27;24,00;27,79;6,32;25,00;1,00;10,00;10,00;7,00;9,00;14,00;12,00;14,00;10,00;0,00;3,00;7,00;2,00;5,00;5,00;5,00;6,00;5,00;3,00;1,00;1,00;3,00;1,00;3,00;1,00;0,00;1,00;0,00;0,00
