Avion;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;47,00;65,00;7,00;10,00;4,00;13,26;114,49;6,03;21,69
2019-01-13;43,00;70,00;8,00;10,00;3,00;11,94;103,92;7,17;19,11
2019-01-20;37,00;54,00;17,00;11,00;5,00;13,13;91,90;7,16;19,10
2019-01-27;43,00;70,00;9,00;10,00;3,00;11,94;97,94;5,97;20,31
2019-02-03;39,00;72,00;15,00;10,00;4,00;10,64;102,82;5,91;20,09
2019-02-10;43,00;56,00;13,00;9,00;3,00;13,14;91,97;5,97;21,50
2019-02-17;44,00;53,00;14,00;13,00;6,00;13,44;88,00;6,11;20,78
2019-02-24;48,00;60,00;15,00;11,00;3,00;14,40;76,80;6,00;21,60
2019-03-03;36,00;62,00;7,00;11,00;4,00;10,80;84,00;7,20;22,80
2019-03-10;42,00;54,00;11,00;11,00;5,00;12,00;84,00;6,00;21,60
2019-03-17;46,00;70,00;10,00;11,00;6,00;12,11;92,00;7,26;20,58
2019-03-24;40,00;61,00;12,00;13,00;5,00;13,33;76,36;7,27;20,61
2019-03-31;46,00;63,00;17,00;10,00;6,00;12,11;87,16;7,26;20,58
2019-04-07;46,00;71,00;11,00;12,00;5,00;10,89;87,16;8,47;20,58
2019-04-14;40,00;59,00;11,00;11,00;6,00;12,12;80,00;7,27;19,39
2019-04-21;43,00;64,00;21,00;12,00;2,00;10,75;82,42;5,97;19,11
2019-04-28;42,00;61,00;16,00;11,00;5,00;13,20;88,80;6,00;19,20
2019-05-05;40,00;66,00;15,00;11,00;4,00;15,76;83,64;7,27;20,61
2019-05-12;40,00;51,00;18,00;13,00;6,00;13,33;82,42;6,06;21,82
2019-05-19;39,00;71,00;14,00;10,00;4,00;10,97;79,22;6,09;21,94
2019-05-26;41,00;58,00;26,00;12,00;4,00;11,71;82,00;8,20;22,26
2019-06-02;41,00;49,00;8,00;12,00;6,00;15,68;98,88;8,44;22,91
2019-06-09;44,00;68,00;17,00;14,00;7,00;14,27;92,76;8,32;21,41
2019-06-16;50,00;71,00;11,00;14,00;6,00;13,10;79,76;8,33;22,62
2019-06-23;46,00;66,00;10,00;13,00;5,00;14,53;85,95;6,05;24,21
2019-06-30;51,00;82,00;12,00;14,00;6,00;17,79;102,00;7,12;21,35
2019-07-07;48,00;90,00;23,00;15,00;5,00;16,80;114,00;8,40;21,60
2019-07-14;52,00;86,00;21,00;15,00;11,00;15,72;113,67;8,47;20,56
2019-07-21;47,00;74,00;23,00;14,00;7,00;18,08;120,51;9,64;21,69
2019-07-28;57,00;78,00;18,00;16,00;8,00;16,63;96,19;8,31;20,19
2019-08-04;51,00;77,00;18,00;11,00;6,00;19,43;102,00;8,50;19,43
2019-08-11;43,00;68,00;10,00;13,00;8,00;15,97;103,20;7,37;18,43
2019-08-18;42,00;56,00;22,00;10,00;5,00;13,20;105,60;7,20;19,20
2019-08-25;42,00;50,00;12,00;12,00;6,00;12,00;94,80;7,20;19,20
2019-09-01;42,00;57,00;12,00;10,00;7,00;15,60;99,60;8,40;18,00
2019-09-08;38,00;56,00;18,00;11,00;5,00;14,25;79,56;11,88;17,81
2019-09-15;39,00;69,00;21,00;10,00;6,00;13,00;83,91;10,64;17,73
2019-09-22;37,00;61,00;13,00;11,00;6,00;14,32;77,58;9,55;17,90
2019-09-29;37,00;66,00;21,00;11,00;3,00;11,94;82,35;9,55;19,10
2019-10-06;36,00;62,00;16,00;10,00;5,00;13,20;85,20;10,80;18,00
2019-10-13;37,00;45,00;9,00;9,00;3,00;11,94;84,74;14,32;20,29
2019-10-20;42,00;50,00;13,00;9,00;5,00;9,60;70,80;26,40;30,00
2019-10-27;37,00;47,00;13,00;9,00;3,00;11,94;85,94;17,90;23,87
2019-11-03;35,00;48,00;10,00;10,00;6,00;12,83;70,00;9,33;19,83
2019-11-10;33,00;55,00;13,00;9,00;5,00;14,67;70,89;9,78;19,56
2019-11-17;33,00;43,00;11,00;8,00;3,00;11,79;68,36;8,25;18,86
2019-11-24;37,00;52,00;9,00;9,00;4,00;14,32;69,23;9,55;20,29
2019-12-01;35,00;52,00;14,00;10,00;3,00;14,48;78,45;12,07;20,52
2019-12-08;34,00;55,00;7,00;10,00;4,00;10,55;75,03;11,72;21,10
2019-12-15;40,00;39,00;15,00;11,00;5,00;10,91;66,67;13,33;21,82
2019-12-22;40,00;63,00;17,00;10,00;6,00;15,29;92,94;15,29;22,35
2019-12-29;47,00;63,00;13,00;10,00;7,00;12,05;102,44;12,05;25,31
2020-01-05;43,00;68,00;12,00;11,00;7,00;14,33;118,25;13,14;26,28
2020-01-12;43,00;61,00;16,00;9,00;3,00;11,94;114,67;10,75;26,28
2020-01-19;43,00;70,00;16,00;11,00;4,00;10,75;101,53;9,56;23,89
2020-01-26;41,00;72,00;12,00;9,00;3,00;12,06;98,88;10,85;21,71
2020-02-02;44,00;64,00;11,00;9,00;5,00;9,51;93,95;10,70;21,41
2020-02-09;40,00;55,00;11,00;9,00;4,00;9,41;94,12;9,41;20,00
2020-02-16;45,00;65,00;14,00;9,00;5,00;12,16;91,22;8,51;21,89
2020-02-23;44,00;63,00;12,00;9,00;3,00;13,08;72,54;8,32;21,41
