Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Les Deux Alpes (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-06-23;40,00;0,00;56,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;27,00;11,57;77,14;27,00;11,57;0,00;27,00;27,00;14,04;13,00;0,00;0,00;13,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;66,00;38,82;11,65;11,65;11,65;0,00;0,00;13,62;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00
2019-07-14;42,00;0,00;42,00;0,00;15,27;0,00;13,65;0,00;13,65;0,00;0,00;14,00;42,00;14,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00
2019-07-21;30,00;142,50;86,25;30,00;101,25;15,00;0,00;30,00;0,00;15,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;30,00;0,00;15,00;0,00;15,00;0,00;15,00;0,00;0,00;0,00;0,00
2019-07-28;44,00;32,00;76,00;0,00;16,00;44,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;15,00;30,00;30,00;15,00;15,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;15,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00
2019-08-11;42,00;15,27;26,73;0,00;26,73;28,35;28,35;0,00;13,65;14,00;0,00;0,00;14,00;0,00;0,00;14,00;14,00;0,00;0,00;0,00;14,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;86,00;27,36;27,36;15,64;0,00;14,68;0,00;14,68;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;69,00;15,33;15,33;0,00;15,33;0,00;0,00;0,00;0,00;0,00;0,00;27,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;52,00;28,00;28,00;12,00;0,00;0,00;0,00;12,48;0,00;0,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;13,00;13,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00
