Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Les Deux Alpes (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-06-23;47,00;0,00;35,61;0,00;24,21;11,75;0,00;0,00;0,00;12,00;12,00;0,00;0,00;0,00;0,00;12,00;24,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;24,00;0,00;46,59;0,00;0,00;0,00;0,00;0,00;12,00;35,00;12,00;0,00;12,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;23,00;11,50;23,00;11,50;11,50;0,00;23,00;11,50;0,00;23,00;23,00;12,00;35,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00
2019-07-14;86,00;12,69;0,00;0,00;0,00;49,79;24,14;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;51,00;38,25;12,75;12,75;25,50;37,50;0,00;12,00;12,00;38,00;13,00;13,00;0,00;0,00;13,00;13,00;0,00;38,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;50,00;25,71;50,00;25,71;0,00;25,76;12,12;25,76;0,00;25,00;12,00;25,00;0,00;12,00;0,00;12,00;12,00;12,00;25,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;48,00;0,00;12,71;12,71;24,00;36,00;12,00;12,00;0,00;12,00;48,00;0,00;0,00;12,00;0,00;0,00;12,00;0,00;12,00;0,00;0,00;0,00;0,00;12,00;12,00;0,00;0,00;0,00
2019-08-11;47,00;11,39;0,00;11,39;0,00;59,13;47,00;12,13;24,26;35,00;0,00;12,00;12,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;71,00;0,00;0,00;0,00;47,33;0,00;23,67;0,00;0,00;12,00;12,00;0,00;36,00;0,00;0,00;24,00;0,00;24,00;0,00;12,00;0,00;0,00;24,00;12,00;0,00;0,00;0,00;0,00
2019-08-25;69,00;22,53;11,27;22,53;0,00;0,00;34,50;22,50;0,00;23,00;11,00;0,00;11,00;0,00;0,00;11,00;34,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;11,00;42,63;22,00;0,00;22,00;69,14;23,57;0,00;11,00;11,00;33,00;0,00;0,00;22,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;0,00;49,00;16,00;8,00;16,00;8,00;0,00;8,00;8,00;11,00;34,00;0,00;0,00;0,00;11,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;33,00;33,00;44,00;11,00;0,00;10,50;55,50;10,50;22,50;0,00;11,00;0,00;11,00;11,00;11,00;0,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;43,00;32,97;21,50;21,50;21,50;10,38;53,38;20,76;31,14;21,00;21,00;11,00;21,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00
2019-09-29;21,00;30,80;30,80;51,80;30,80;52,50;10,50;52,50;0,00;21,00;0,00;32,00;21,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;53,00;41,84;41,84;20,92;32,08;53,00;0,00;20,61;53,00;11,00;21,00;0,00;21,00;0,00;21,00;0,00;21,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;53,00;41,84;53,00;11,16;20,92;10,60;10,60;10,60;21,20;11,00;0,00;11,00;11,00;11,00;21,00;11,00;0,00;0,00;0,00;21,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;21,00;32,20;11,20;21,00;32,20;21,00;0,00;21,00;21,00;11,00;11,00;11,00;0,00;0,00;0,00;0,00;11,00;0,00;11,00;11,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;0,00;31,00;23,00;8,00;54,00;15,00;44,00;7,00;7,00;0,00;22,00;0,00;11,00;11,00;22,00;11,00;11,00;11,00;44,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;73,00;84,23;21,06;9,83;42,12;20,86;20,86;10,43;31,29;0,00;10,00;10,00;21,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;10,00;0,00;0,00;0,00;11,00
2019-11-10;42,00;63,00;30,80;42,00;21,00;10,50;42,00;42,00;10,50;11,00;11,00;21,00;21,00;11,00;11,00;0,00;21,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00
2019-11-17;32,00;65,45;21,82;21,82;21,82;10,67;21,33;21,33;21,33;0,00;11,00;0,00;11,00;0,00;11,00;11,00;0,00;0,00;0,00;53,00;21,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00
2019-11-24;0,00;58,00;50,00;36,00;22,00;14,00;41,00;34,00;0,00;0,00;10,00;20,00;10,00;0,00;10,00;10,00;0,00;20,00;0,00;10,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00
2019-12-01;21,00;42,00;63,00;72,80;9,80;21,00;21,00;73,50;21,00;0,00;11,00;11,00;11,00;0,00;10,00;10,00;21,00;10,00;10,00;10,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;10,00;94,29;62,86;10,00;0,00;20,00;10,00;10,00;48,57;31,00;0,00;10,00;21,00;21,00;21,00;10,00;21,00;21,00;10,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;51,00;31,17;70,83;41,08;51,00;61,50;51,00;40,50;51,00;51,00;10,00;10,00;10,00;10,00;20,00;10,00;0,00;0,00;10,00;20,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00
