Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2021-04-11;5,00;65,00;70,00;25,00;65,00;25,00;0,00;28,33;21,67;45,00;20,00;70,00;20,00;40,00;30,00;5,00;24,00;14,00;2,00;2,00;10,00;3,00;2,00;2,00;3,00;2,00;1,00;0,00;2,00;1,00;2,00;1,00
2021-04-18;10,00;36,67;36,67;13,33;40,00;23,33;1,67;26,67;25,00;20,00;16,67;43,33;10,00;35,00;25,00;5,00;23,00;15,00;2,00;4,00;3,00;2,00;2,00;5,00;2,00;0,00;1,00;2,00;1,00;4,00;2,00;1,00
2021-04-25;10,00;33,33;43,33;23,33;43,33;36,67;0,83;31,67;21,67;23,33;13,33;43,33;10,00;40,00;25,00;15,00;29,00;14,00;2,00;4,00;7,00;4,00;1,00;2,00;2,00;2,00;2,00;0,00;1,00;4,00;1,00;0,00
2021-05-02;10,00;40,00;43,33;33,33;50,00;44,00;0,00;50,00;36,00;30,00;30,00;65,00;15,00;35,00;30,00;15,00;34,00;15,00;2,00;7,00;4,00;6,00;3,00;7,00;0,00;1,00;1,00;2,00;0,00;3,00;0,00;0,00
2021-05-09;17,00;47,60;34,00;34,00;64,60;42,50;1,70;34,00;35,70;42,50;25,50;72,25;22,67;73,67;34,00;22,67;28,00;18,00;6,00;8,00;9,00;6,00;3,00;2,00;1,00;2,00;2,00;1,00;1,00;4,00;0,00;0,00
2021-05-16;23,00;53,67;49,83;57,50;76,67;69,00;0,88;30,08;53,08;49,83;30,67;69,00;23,00;97,75;51,75;23,00;44,00;15,00;4,00;8,00;8,00;8,00;4,00;9,00;2,00;1,00;0,00;2,00;1,00;7,00;1,00;2,00
2021-05-23;18,00;72,00;43,20;68,40;86,40;73,80;1,80;27,00;59,40;63,00;49,50;135,00;24,00;156,00;72,00;30,00;65,00;22,00;1,00;5,00;14,00;7,00;6,00;10,00;1,00;2,00;6,00;2,00;1,00;8,00;0,00;2,00
2021-05-30;20,00;84,00;44,00;76,00;132,00;69,09;1,82;36,36;58,18;76,00;36,00;100,00;33,33;166,67;80,00;40,00;46,00;20,00;0,00;9,00;14,00;16,00;5,00;3,00;1,00;2,00;3,00;3,00;1,00;6,00;1,00;1,00
2021-06-06;24,00;92,00;40,00;88,00;116,00;66,46;1,85;33,23;75,69;64,00;40,00;120,00;36,00;156,00;66,00;30,00;37,00;27,00;3,00;10,00;11,00;19,00;6,00;6,00;1,00;2,00;2,00;3,00;2,00;6,00;0,00;2,00
2021-06-13;33,00;84,33;36,67;88,00;121,00;75,17;1,83;36,67;154,00;82,50;37,13;123,75;66,00;126,50;60,50;33,00;44,00;19,00;7,00;12,00;19,00;19,00;5,00;12,00;0,00;4,00;4,00;2,00;1,00;4,00;2,00;0,00
2021-06-20;26,00;104,00;40,86;85,43;126,29;79,86;1,86;50,14;105,86;85,43;37,14;122,57;58,50;182,00;91,00;39,00;44,00;20,00;8,00;12,00;26,00;21,00;5,00;4,00;4,00;2,00;2,00;2,00;1,00;2,00;2,00;2,00
2021-06-27;27,00;127,29;61,71;111,86;115,71;57,60;1,80;36,00;57,60;96,43;50,14;131,14;70,20;113,40;86,40;37,80;47,00;21,00;8,00;9,00;20,00;23,00;9,00;5,00;2,00;4,00;3,00;3,00;1,00;7,00;0,00;0,00
