Week-end;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;31,00;11,00;9,00;8,00;13,00;8,00;11,00;0,50;0,50
2019-01-13;28,00;19,00;10,00;7,00;15,00;12,00;9,00;0,50;0,50
2019-01-20;29,00;11,00;11,00;8,00;18,00;9,00;9,00;1,00;0,50
2019-01-27;25,00;10,00;8,00;8,00;17,00;7,00;3,00;0,50;0,50
2019-02-03;27,00;10,00;8,00;9,00;15,00;7,00;4,00;0,50;0,50
2019-02-10;28,00;6,00;7,00;6,00;17,00;6,00;1,00;0,50;0,50
2019-02-17;25,00;7,00;4,00;8,00;14,00;8,00;4,00;0,50;0,50
2019-02-24;27,00;10,00;5,00;7,00;15,00;6,00;4,00;0,50;0,50
2019-03-03;26,00;5,00;4,00;6,00;14,00;7,00;3,00;0,50;0,50
2019-03-10;26,00;4,00;7,00;9,00;15,00;7,00;3,00;0,50;0,50
2019-03-17;27,00;6,00;9,00;7,00;13,00;7,00;3,00;0,50;0,50
2019-03-24;25,00;10,00;5,00;8,00;15,00;8,00;4,00;0,50;0,50
2019-03-31;33,00;8,00;11,00;8,00;17,00;13,00;9,00;0,50;0,50
2019-04-07;38,00;12,00;14,00;8,00;14,00;12,00;10,00;0,50;0,50
2019-04-14;42,00;13,00;14,00;4,00;15,00;10,00;8,00;0,50;0,50
2019-04-21;32,00;11,00;5,00;6,00;13,00;10,00;5,00;1,00;0,50
2019-04-28;29,00;10,00;15,00;7,00;16,00;9,00;7,00;0,50;0,50
2019-05-05;29,00;10,00;9,00;7,00;14,00;10,00;8,00;0,50;0,50
2019-05-12;26,00;10,00;10,00;7,00;19,00;13,00;8,00;0,50;0,50
2019-05-19;28,00;14,00;8,00;7,00;14,00;16,00;9,00;1,00;0,50
2019-05-26;31,00;10,00;12,00;7,00;15,00;11,00;12,00;1,00;0,50
2019-06-02;31,00;13,00;13,00;8,00;20,00;11,00;9,00;0,50;0,50
2019-06-09;26,00;12,00;7,00;7,00;19,00;16,00;6,00;1,00;0,50
2019-06-16;19,00;10,00;10,00;8,00;16,00;16,00;9,00;0,50;0,50
2019-06-23;21,00;12,00;11,00;7,00;16,00;15,00;7,00;0,50;0,50
2019-06-30;22,00;14,00;7,00;6,00;18,00;16,00;7,00;0,50;0,50
2019-07-07;23,00;11,00;7,00;8,00;20,00;15,00;8,00;0,50;0,50
2019-07-14;23,00;8,00;10,00;8,00;15,00;13,00;6,00;0,50;0,50
