Tout_inclus;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;75,00;45,00;59,00;39,00;10,00;43,42;75,00;197,37;84,87
2019-01-13;74,00;45,00;30,00;42,00;9,00;44,00;88,00;166,00;84,00
2019-01-20;84,00;42,00;35,00;40,00;9,00;36,00;56,00;150,00;86,00
2019-01-27;81,00;50,00;39,00;38,00;9,00;29,63;75,07;124,46;79,02
2019-02-03;89,00;22,00;35,00;26,00;9,00;31,64;59,33;130,53;75,16
2019-02-10;100,00;56,00;38,00;34,00;10,00;38,00;52,00;118,00;72,00
2019-02-17;92,00;42,00;20,00;23,00;11,00;24,00;60,00;126,00;86,00
2019-02-24;93,00;34,00;30,00;26,00;10,00;31,66;65,30;110,81;73,21
2019-03-03;77,00;35,00;32,00;26,00;13,00;29,62;47,38;120,44;77,00
2019-03-10;67,00;34,00;20,00;28,00;10,00;31,53;51,24;110,35;70,94
2019-03-17;65,00;42,00;41,00;25,00;13,00;27,58;53,18;110,30;65,00
2019-03-24;70,00;40,00;23,00;21,00;13,00;32,00;38,00;118,00;74,00
2019-03-31;62,00;37,00;30,00;22,00;10,00;30,00;60,00;120,00;68,00
2019-04-07;63,00;34,00;31,00;24,00;11,00;31,50;53,16;131,91;55,13
2019-04-14;62,00;26,00;25,00;31,00;12,00;27,13;40,69;122,06;54,25
2019-04-21;58,00;22,00;37,00;25,00;8,00;32,00;54,00;142,00;62,00
2019-04-28;59,00;54,00;36,00;25,00;9,00;25,57;70,80;139,63;55,07
2019-05-05;47,00;43,00;19,00;29,00;11,00;33,29;50,92;135,13;56,79
2019-05-12;44,00;49,00;15,00;26,00;16,00;30,00;50,00;148,00;56,00
2019-05-19;64,00;46,00;30,00;28,00;17,00;34,00;60,00;152,00;60,00
2019-05-26;46,00;38,00;32,00;33,00;16,00;24,00;56,00;152,00;66,00
2019-06-02;54,00;54,00;28,00;32,00;14,00;40,00;66,00;166,00;64,00
2019-06-09;56,00;57,00;33,00;49,00;12,00;46,00;52,00;168,00;62,00
2019-06-16;59,00;64,00;36,00;39,00;20,00;47,20;68,83;167,17;66,87
2019-06-23;52,00;53,00;49,00;41,00;19,00;56,00;74,00;162,00;64,00
2019-06-30;66,00;62,00;52,00;42,00;19,00;52,00;70,00;164,00;56,00
2019-07-07;75,00;46,00;51,00;47,00;22,00;53,29;78,95;157,89;57,24
2019-07-14;75,00;71,00;35,00;47,00;18,00;49,34;86,84;175,66;57,24
2019-07-21;72,00;59,00;46,00;42,00;25,00;56,00;78,00;168,00;60,00
2019-07-28;86,00;86,00;44,00;39,00;22,00;50,00;82,00;172,00;56,00
2019-08-04;79,00;48,00;46,00;43,00;22,00;51,35;90,85;150,10;53,33
2019-08-11;85,00;62,00;34,00;35,00;19,00;41,51;65,23;162,09;53,37
2019-08-18;69,00;53,00;35,00;34,00;16,00;45,34;69,00;138,00;47,31
2019-08-25;65,00;35,00;40,00;35,00;14,00;25,61;63,03;137,88;43,33
2019-09-01;44,00;32,00;34,00;30,00;14,00;30,00;54,00;138,00;48,00
2019-09-08;45,00;28,00;28,00;36,00;16,00;19,57;41,09;123,26;45,00
2019-09-15;39,00;33,00;18,00;33,00;12,00;17,55;48,75;126,75;50,70
2019-09-22;46,00;41,00;25,00;30,00;10,00;16,00;44,00;156,00;46,00
2019-09-29;46,00;37,00;40,00;25,00;11,00;14,00;44,00;122,00;52,00
2019-10-06;43,00;27,00;15,00;21,00;9,00;15,64;39,09;107,50;46,91
2019-10-13;42,00;20,00;20,00;24,00;10,00;14,00;48,00;102,00;46,00
2019-10-20;35,00;31,00;7,00;24,00;8,00;9,72;46,67;85,56;48,61
2019-10-27;37,00;24,00;24,00;21,00;8,00;11,68;37,00;79,84;42,84
2019-11-03;36,00;36,00;26,00;22,00;4,00;18,00;42,00;82,00;50,00
2019-11-10;34,00;47,00;12,00;24,00;3,00;14,00;30,00;80,00;46,00
2019-11-17;42,00;38,00;17,00;20,00;8,00;14,00;54,00;64,00;44,00
