Croisiere;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;52,00;17,00;66,00;72,00;3,00;97,33;2,67;5,33;4,00
2019-01-13;45,00;15,00;63,00;66,00;2,00;83,18;5,45;4,09;4,09
2019-01-20;40,00;13,00;51,00;64,00;1,00;77,33;6,67;4,00;4,00
2019-01-27;29,00;13,00;48,00;61,00;3,00;62,14;4,14;2,76;4,14
2019-02-03;26,00;3,00;43,00;53,00;2,00;65,68;1,37;4,11;2,74
2019-02-10;32,00;11,00;43,00;55,00;3,00;62,61;2,78;5,57;4,17
2019-02-17;33,00;8,00;41,00;50,00;1,00;66,00;2,75;9,63;4,13
2019-02-24;41,00;15,00;50,00;49,00;2,00;72,43;2,73;8,20;2,73
2019-03-03;31,00;5,00;50,00;50,00;1,00;63,35;1,35;5,39;9,43
2019-03-10;34,00;11,00;42,00;44,00;2,00;58,48;1,36;4,08;4,08
2019-03-17;30,00;13,00;48,00;49,00;2,00;68,18;2,73;4,09;4,09
2019-03-24;33,00;14,00;40,00;45,00;1,00;111,38;2,75;8,25;8,25
2019-03-31;36,00;9,00;41,00;38,00;1,00;54,00;1,38;5,54;4,15
2019-04-07;36,00;24,00;51,00;46,00;3,00;60,92;1,38;4,15;2,77
2019-04-14;46,00;5,00;67,00;41,00;1,00;55,47;2,71;4,06;2,71
2019-04-21;44,00;13,00;50,00;46,00;3,00;84,00;5,33;2,67;2,67
2019-04-28;38,00;15,00;50,00;44,00;3,00;69,21;2,71;5,43;2,71
2019-05-05;39,00;6,00;59,00;53,00;3,00;84,96;2,79;5,57;4,18
2019-05-12;33,00;8,00;46,00;51,00;2,00;62,04;3,96;6,60;2,64
2019-05-19;39,00;13,00;39,00;45,00;2,00;75,31;2,69;4,03;2,69
2019-05-26;33,00;9,00;44,00;46,00;3,00;67,38;2,75;5,50;4,13
2019-06-02;45,00;11,00;34,00;48,00;3,00;122,73;2,73;20,45;10,91
2019-06-09;34,00;13,00;43,00;53,00;3,00;73,44;4,08;8,16;4,08
2019-06-16;40,00;12,00;60,00;57,00;4,00;96,55;2,76;5,52;4,14
2019-06-23;32,00;18,00;29,00;47,00;4,00;97,33;2,67;4,00;2,67
2019-06-30;41,00;16,00;37,00;49,00;4,00;105,23;1,37;5,47;2,73
2019-07-07;51,00;13,00;70,00;70,00;3,00;114,08;5,37;8,05;5,37
2019-07-14;47,00;15,00;59,00;55,00;4,00;96,76;4,15;5,53;2,76
2019-07-21;50,00;10,00;41,00;57,00;5,00;109,46;1,35;6,76;6,76
2019-07-28;46,00;15,00;53,00;56,00;3,00;113,65;1,35;6,76;4,06
2019-08-04;51,00;15,00;40,00;67,00;5,00;127,50;2,68;6,71;4,03
2019-08-11;47,00;15,00;57,00;77,00;3,00;138,24;2,76;9,68;2,76
2019-08-18;48,00;10,00;43,00;59,00;3,00;112,00;2,67;5,33;4,00
2019-08-25;43,00;11,00;35,00;59,00;3,00;102,13;4,03;6,72;2,69
2019-09-01;41,00;18,00;38,00;62,00;7,00;91,57;4,10;4,10;4,10
2019-09-08;40,00;15,00;53,00;58,00;3,00;77,33;5,33;4,00;2,67
2019-09-15;39,00;9,00;45,00;55,00;4,00;64,55;2,69;8,07;2,69
2019-09-22;37,00;14,00;46,00;52,00;3,00;74,00;2,74;5,48;2,74
2019-09-29;33,00;12,00;35,00;49,00;2,00;63,25;2,75;5,50;4,13
2019-10-06;30,00;12,00;55,00;53,00;3,00;62,73;4,09;6,82;4,09
2019-10-13;33,00;16,00;53,00;53,00;3,00;63,25;2,75;4,13;4,13
2019-10-20;35,00;10,00;41,00;52,00;2,00;56,54;1,35;5,38;2,69
2019-10-27;33,00;17,00;17,00;52,00;3,00;55,00;2,75;4,13;2,75
2019-11-03;30,00;13,00;47,00;54,00;2,00;55,91;2,73;5,45;2,73
2019-11-10;29,00;6,00;27,00;43,00;1,00;51,41;1,32;3,95;2,64
