Residence_tourisme;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-05-31;24,00;0,00;0,00;8,00;32,00;11,00;5,00;9,00;6,00
2020-06-07;26,00;9,00;11,00;14,00;27,00;10,00;11,00;23,00;28,00
2020-06-14;37,00;23,00;29,00;9,00;45,00;12,00;16,00;18,00;12,00
2020-06-21;41,00;10,00;13,00;9,00;42,00;13,00;7,00;28,00;16,00
2020-06-28;48,00;24,00;31,00;15,00;51,00;11,00;23,00;13,00;4,00
2020-07-05;49,00;15,00;19,00;13,00;46,00;12,00;12,00;15,00;3,00
2020-07-12;52,00;16,00;13,00;18,00;46,00;11,00;11,00;13,00;5,00
2020-07-19;67,00;23,00;34,00;13,00;55,00;8,00;34,00;19,00;5,00
2020-07-26;68,00;11,00;7,00;15,00;54,00;21,00;27,00;13,00;5,00
2020-08-02;100,00;42,00;13,00;13,00;86,00;10,00;14,00;16,00;5,00
2020-08-09;83,00;25,00;6,00;15,00;79,00;9,00;16,00;16,00;4,00
2020-08-16;75,00;20,00;44,00;16,00;52,00;13,00;13,00;13,00;3,00
2020-08-23;37,00;15,00;25,00;15,00;31,00;7,00;7,00;12,00;4,00
2020-08-30;30,00;20,00;12,00;14,00;34,00;3,00;20,00;16,00;3,00
2020-09-06;46,00;16,00;6,00;12,00;21,00;3,00;10,00;8,00;3,00
2020-09-13;44,00;16,00;37,00;11,00;25,00;5,00;13,00;11,00;4,00
2020-09-20;54,00;15,00;12,00;10,00;18,00;4,00;3,00;11,00;4,00
2020-09-27;55,00;5,00;6,00;25,00;12,00;1,00;13,00;14,00;4,00
2020-10-04;55,00;10,00;19,00;28,00;12,00;4,00;8,00;12,00;3,00
2020-10-11;50,00;5,00;13,00;17,00;20,00;6,00;3,00;12,00;6,00
2020-10-18;54,00;0,00;7,00;13,00;11,00;1,00;11,00;16,00;4,00
2020-10-25;30,00;0,00;13,00;15,00;11,00;1,00;8,00;21,00;4,00
2020-11-01;37,00;20,00;0,00;15,00;4,00;1,00;5,00;22,00;4,00
2020-11-08;32,00;5,00;13,00;12,00;6,00;1,00;5,00;20,00;4,00
2020-11-15;25,00;10,00;0,00;16,00;5,00;1,00;3,00;15,00;3,00
2020-11-22;20,00;10,00;6,00;14,00;8,00;3,00;3,00;10,00;4,00
2020-11-29;50,00;10,00;0,00;6,00;10,00;2,00;0,00;14,00;4,00
2020-12-06;54,00;10,00;0,00;12,00;14,00;1,00;3,00;12,00;4,00
2020-12-13;71,00;5,00;6,00;12,00;7,00;0,00;5,00;11,00;4,00
2020-12-20;42,00;11,00;22,00;18,00;11,00;1,00;0,00;9,00;3,00
2020-12-27;32,00;11,00;14,00;6,00;12,00;4,00;11,00;9,00;4,00
2021-01-03;48,00;10,00;6,00;14,00;10,00;1,00;5,00;10,00;3,00
2021-01-10;36,00;10,00;0,00;14,00;7,00;1,00;3,00;10,00;3,00
2021-01-17;57,00;15,00;6,00;20,00;9,00;2,00;0,00;8,00;4,00
2021-01-24;46,00;15,00;24,00;9,00;12,00;2,00;0,00;8,00;4,00
2021-01-31;68,00;20,00;18,00;12,00;10,00;2,00;5,00;10,00;3,00
2021-02-07;54,00;15,00;25,00;9,00;16,00;0,00;0,00;26,00;5,00
2021-02-14;33,00;11,00;33,00;18,00;10,00;1,00;3,00;7,00;2,00
2021-02-21;37,00;11,00;19,00;15,00;14,00;1,00;11,00;11,00;4,00
2021-02-28;28,00;11,00;44,00;7,00;18,00;4,00;5,00;9,00;3,00
2021-03-07;42,00;10,00;0,00;8,00;14,00;3,00;0,00;10,00;4,00
2021-03-14;54,00;15,00;23,00;25,00;15,00;2,00;20,00;16,00;4,00
2021-03-21;64,00;16,00;19,00;21,00;21,00;2,00;5,00;26,00;4,00
2021-03-28;16,00;11,00;0,00;23,00;23,00;1,00;14,00;18,00;4,00
2021-04-04;34,00;10,00;20,00;7,00;17,00;7,00;13,00;12,00;5,00
2021-04-11;58,00;0,00;12,00;19,00;15,00;5,00;5,00;16,00;6,00
2021-04-18;65,00;0,00;19,00;16,00;14,00;6,00;3,00;14,00;12,00
2021-04-25;56,00;36,00;12,00;22,00;29,00;18,00;5,00;28,00;9,00
2021-05-02;60,00;15,00;31,00;8,00;32,00;4,00;8,00;15,00;13,00
2021-05-09;73,00;16,00;13,00;19,00;38,00;7,00;14,00;25,00;11,00
2021-05-16;32,00;10,00;6,00;25,00;36,00;8,00;15,00;27,00;9,00
2021-05-23;33,00;16,00;26,00;21,00;60,00;9,00;19,00;8,00;7,00
2021-05-30;37,00;11,00;19,00;19,00;44,00;8,00;11,00;20,00;7,00
2021-06-06;65,00;16,00;6,00;26,00;63,00;20,00;11,00;11,00;7,00
2021-06-13;45,00;31,00;13,00;28,00;52,00;13,00;24,00;19,00;9,00
2021-06-20;43,00;47,00;32,00;13,00;62,00;13,00;16,00;15,00;7,00
2021-06-27;43,00;11,00;45,00;18,00;74,00;15,00;46,00;11,00;10,00
2021-07-04;86,00;39,00;27,00;28,00;58,00;13,00;13,00;17,00;8,00
2021-07-11;76,00;6,00;41,00;21,00;60,00;15,00;6,00;18,00;8,00
2021-07-18;50,00;32,00;8,00;13,00;72,00;12,00;9,00;11,00;7,00
2021-07-25;54,00;24,00;22,00;21,00;61,00;5,00;29,00;18,00;7,00
2021-08-01;90,00;30,00;22,00;29,00;78,00;14,00;27,00;27,00;10,00
2021-08-08;63,00;36,00;22,00;24,00;85,00;10,00;19,00;20,00;8,00
2021-08-15;70,00;23,00;41,00;17,00;74,00;14,00;24,00;20,00;6,00
2021-08-22;63,00;18,00;22,00;23,00;50,00;5,00;3,00;17,00;7,00
2021-08-29;49,00;14,00;8,00;20,00;42,00;6,00;24,00;16,00;7,00
