Disney;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-12-01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00
2020-03-01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;0,00;0,00;0,00;0,00;0,00;0,00;76,00;0,00;0,00
2020-03-15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-23;0,00;0,00;0,00;0,00;0,00;0,00;78,00;0,00;0,00
2020-08-30;0,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00
2020-09-06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00
2020-11-22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-20;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2020-12-27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-17;0,00;0,00;0,00;0,00;0,00;36,00;0,00;0,00;0,00
2021-01-24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-28;0,00;0,00;0,00;0,00;0,00;0,00;81,00;0,00;0,00
2021-03-07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00
2021-04-25;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2021-05-02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-23;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-13;0,00;82,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-07-04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-07-11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-07-18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-07-25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-08-01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-08-08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
