Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-05-17;0,00;8,00;12,00;24,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;11,00;22,00;11,00;63,25;0,00;0,00;22,00;0,00;0,00
2020-05-31;32,00;52,36;52,36;107,64;0,00;0,00;0,00;11,00;0,00
2020-06-07;21,00;33,00;21,00;123,00;0,00;0,00;11,00;0,00;0,00
2020-06-14;11,00;22,00;52,25;52,25;0,00;0,00;33,00;0,00;11,00
2020-06-21;35,00;58,33;70,00;151,67;0,00;0,00;0,00;0,00;11,00
2020-06-28;23,00;34,50;57,50;57,50;0,00;11,00;0,00;11,00;23,00
2020-07-05;24,00;138,00;51,00;126,00;12,00;0,00;24,00;12,00;0,00
2020-07-12;25,00;86,11;75,00;75,00;11,11;0,00;0,00;25,00;0,00
2020-07-19;54,00;39,79;25,58;133,58;0,00;0,00;0,00;0,00;13,00
2020-07-26;25,00;136,11;36,11;75,00;0,00;13,00;13,00;25,00;0,00
2020-08-02;37,00;122,38;62,62;136,62;0,00;25,00;0,00;0,00;0,00
2020-08-09;23,00;106,38;23,00;94,88;0,00;0,00;0,00;0,00;12,00
2020-08-16;24,00;87,00;36,00;147,00;0,00;0,00;24,00;12,00;0,00
2020-08-23;24,00;111,00;24,00;147,00;0,00;12,00;24,00;12,00;12,00
2020-08-30;36,00;75,00;0,00;138,00;0,00;12,00;24,00;12,00;12,00
2020-09-06;49,00;109,53;60,53;98,00;0,00;0,00;0,00;24,00;0,00
2020-09-13;24,00;24,00;12,00;126,00;0,00;24,00;24,00;0,00;0,00
2020-09-20;36,00;99,00;12,00;24,00;0,00;12,00;12,00;12,00;0,00
2020-09-27;12,00;75,00;63,00;48,00;0,00;0,00;24,00;0,00;0,00
2020-10-04;24,00;24,00;24,00;51,00;0,00;0,00;0,00;0,00;24,00
2020-10-11;13,00;113,75;58,50;143,00;0,00;0,00;0,00;38,00;13,00
2020-10-18;13,00;71,50;29,25;214,50;0,00;0,00;13,00;0,00;13,00
2020-10-25;36,00;58,15;11,08;160,62;0,00;0,00;12,00;12,00;0,00
2020-11-01;46,00;46,00;46,00;126,50;0,00;11,00;0,00;0,00;0,00
2020-11-08;12,00;51,00;12,00;138,00;0,00;0,00;0,00;12,00;0,00
2020-11-15;24,00;12,00;24,00;75,00;0,00;12,00;0,00;12,00;0,00
2020-11-22;59,00;70,24;33,71;137,67;0,00;0,00;24,00;0,00;12,00
2020-11-29;12,00;75,00;51,00;87,00;0,00;12,00;12,00;0,00;12,00
2020-12-06;0,00;50,00;17,00;50,00;0,00;0,00;12,00;0,00;12,00
2020-12-13;12,00;207,00;63,00;153,00;0,00;0,00;25,00;12,00;0,00
2020-12-20;26,00;222,44;104,00;182,00;0,00;13,00;39,00;0,00;26,00
2020-12-27;52,00;286,00;118,44;170,44;0,00;13,00;13,00;0,00;0,00
2021-01-03;24,00;252,00;114,00;126,00;0,00;0,00;12,00;0,00;12,00
2021-01-10;48,00;211,76;70,59;200,47;0,00;0,00;12,00;24,00;0,00
2021-01-17;48,00;175,06;81,88;127,06;0,00;12,00;24,00;24,00;0,00
2021-01-24;24,00;87,00;63,00;123,00;0,00;0,00;24,00;0,00;12,00
2021-01-31;12,00;162,00;36,00;87,00;0,00;24,00;60,00;12,00;0,00
2021-02-07;12,00;63,00;0,00;75,00;0,00;0,00;0,00;0,00;12,00
2021-02-14;50,00;102,94;88,24;102,94;0,00;0,00;0,00;0,00;0,00
2021-02-21;0,00;13,00;9,00;39,00;0,00;0,00;12,00;25,00;12,00
2021-02-28;49,00;37,47;60,53;74,94;0,00;12,00;25,00;0,00;0,00
2021-03-07;60,00;48,57;48,57;71,43;0,00;0,00;36,00;0,00;0,00
2021-03-14;23,00;34,50;46,00;57,50;0,00;0,00;0,00;11,00;0,00
2021-03-21;25,00;94,44;58,33;166,67;0,00;0,00;0,00;12,00;0,00
2021-03-28;39,00;96,00;108,00;39,00;0,00;0,00;0,00;13,00;13,00
2021-04-04;37,00;145,15;22,77;96,77;0,00;0,00;12,00;0,00;0,00
