Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Les Deux Alpes (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2020-06-07;19,00;0,00;19,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;6,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-14;13,00;0,00;6,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-21;34,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00
2020-06-28;46,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-05;28,00;7,00;7,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-12;50,00;0,00;21,00;14,00;7,00;0,00;0,00;14,00;7,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-19;36,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-26;22,00;0,00;22,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-02;44,00;7,00;22,00;7,00;15,00;7,00;0,00;7,00;7,00;0,00;0,00;0,00;7,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-09;43,00;0,00;21,00;14,00;0,00;7,00;0,00;14,00;0,00;7,00;7,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-16;43,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-23;36,00;14,00;14,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-30;14,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-06;22,00;0,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-13;22,00;14,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-20;14,00;7,00;7,00;0,00;0,00;21,00;0,00;0,00;7,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-27;21,00;7,00;7,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-04;7,00;0,00;14,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-11;7,00;7,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-18;7,00;0,00;7,00;0,00;0,00;7,00;15,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-25;0,00;7,00;7,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-01;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-08;14,00;7,00;7,00;7,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-15;21,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-22;14,00;28,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-29;7,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-06;7,00;0,00;7,00;14,00;0,00;0,00;7,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-13;14,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-20;24,00;24,00;24,00;8,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-27;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;7,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-03;21,00;14,00;21,00;7,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-10;33,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
