Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;24,00;42,00;29,00;10,00;2,00;92,00;24,00;48,00;8,00
2019-01-13;27,00;51,00;17,00;10,00;8,00;96,43;38,57;50,14;7,71
2019-01-20;31,00;57,00;17,00;11,00;7,00;101,86;35,43;62,00;13,29
2019-01-27;32,00;45,00;22,00;12,00;10,00;88,00;28,00;44,00;12,00
2019-02-03;44,00;57,00;27,00;10,00;6,00;80,00;36,00;56,00;12,00
2019-02-10;44,00;56,00;19,00;10,00;8,00;92,00;40,00;40,00;12,00
2019-02-17;45,00;53,00;30,00;10,00;9,00;98,18;36,82;53,18;12,27
2019-02-24;50,00;59,00;24,00;12,00;8,00;104,17;37,50;54,17;12,50
2019-03-03;41,00;46,00;37,00;8,00;6,00;102,50;32,80;49,20;12,30
2019-03-10;40,00;45,00;30,00;10,00;8,00;108,00;32,00;44,00;12,00
2019-03-17;44,00;52,00;18,00;11,00;9,00;120,00;32,00;56,00;12,00
2019-03-24;45,00;44,00;29,00;10,00;10,00;114,55;40,91;49,09;12,27
2019-03-31;42,00;53,00;20,00;11,00;8,00;134,40;42,00;50,40;12,60
2019-04-07;41,00;48,00;32,00;9,00;5,00;143,50;41,00;57,40;12,30
2019-04-14;41,00;56,00;33,00;12,00;10,00;139,40;36,90;61,50;12,30
2019-04-21;45,00;46,00;24,00;11,00;10,00;163,64;40,91;53,18;12,27
2019-04-28;40,00;50,00;26,00;11,00;4,00;148,00;48,00;56,00;12,00
2019-05-05;36,00;48,00;29,00;11,00;8,00;124,00;36,00;52,00;12,00
2019-05-12;36,00;50,00;36,00;9,00;6,00;132,00;48,00;56,00;12,00
2019-05-19;39,00;42,00;32,00;10,00;10,00;138,67;47,67;65,00;13,00
2019-05-26;46,00;67,00;40,00;13,00;7,00;138,00;58,55;62,73;12,55
2019-06-02;44,00;56,00;39,00;11,00;11,00;168,00;44,00;64,00;12,00
2019-06-09;41,00;81,00;38,00;13,00;7,00;196,80;49,20;57,40;12,30
2019-06-16;42,00;67,00;41,00;13,00;10,00;210,00;46,20;63,00;16,80
2019-06-23;46,00;66,00;39,00;8,00;9,00;230,00;50,18;66,91;16,73
2019-06-30;49,00;81,00;34,00;13,00;10,00;249,08;53,08;69,42;16,33
2019-07-07;50,00;77,00;44,00;12,00;10,00;254,17;58,33;66,67;12,50
2019-07-14;55,00;86,00;38,00;13,00;10,00;241,15;71,92;71,92;12,69
2019-07-21;59,00;100,00;42,00;13,00;12,00;273,93;75,86;71,64;16,86
2019-07-28;55,00;81,00;52,00;11,00;13,00;300,38;63,46;71,92;12,69
2019-08-04;62,00;58,00;58,00;15,00;13,00;338,93;82,67;70,27;12,40
