Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2020-06-07;6,00;1,00;12,00;1,00;0,50
2020-06-14;8,00;0,50;11,00;0,50;1,00
2020-06-21;8,00;2,00;14,00;0,50;0,50
2020-06-28;7,00;3,00;19,00;2,00;2,00
2020-07-05;6,00;1,00;13,00;0,50;2,00
2020-07-12;11,00;1,00;8,00;1,00;1,00
2020-07-19;8,00;3,00;11,00;2,00;4,00
2020-07-26;6,00;2,00;12,00;1,00;3,00
2020-08-02;9,00;1,00;12,00;2,00;3,00
2020-08-09;9,00;2,00;13,00;1,00;3,00
2020-08-16;5,00;2,00;16,00;2,00;1,00
2020-08-23;6,00;3,00;14,00;0,00;1,00
2020-08-30;7,00;1,00;20,00;1,00;1,00
2020-09-06;6,00;1,00;12,00;2,00;1,00
2020-09-13;9,00;1,00;11,00;1,00;0,00
2020-09-20;4,00;1,00;14,00;1,00;2,00
2020-09-27;3,00;2,00;11,00;1,00;1,00
2020-10-04;6,00;5,00;14,00;1,00;1,00
2020-10-11;7,00;1,00;12,00;2,00;1,00
2020-10-18;3,00;1,00;13,00;1,00;1,00
2020-10-25;6,00;2,00;15,00;0,00;1,00
2020-11-01;2,00;3,00;8,00;0,00;2,00
2020-11-08;8,00;1,00;20,00;0,00;1,00
2020-11-15;4,00;2,00;23,00;0,00;1,00
2020-11-22;4,00;1,00;12,00;1,00;1,00
2020-11-29;5,00;2,00;16,00;0,00;0,00
2020-12-06;4,00;1,00;12,00;0,00;1,00
2020-12-13;5,00;1,00;18,00;1,00;2,00
2020-12-20;6,00;2,00;15,00;1,00;1,00
2020-12-27;6,00;0,00;14,00;1,00;2,00
2021-01-03;6,00;2,00;19,00;1,00;0,50
2021-01-10;8,00;1,00;13,00;2,00;1,00
2021-01-17;5,00;0,50;15,00;0,50;2,00
2021-01-24;7,00;1,00;11,00;0,00;1,00
2021-01-31;9,00;2,00;14,00;2,00;1,00
2021-02-07;6,00;1,00;12,00;1,00;1,00
2021-02-14;7,00;1,00;12,00;0,00;1,00
2021-02-21;7,00;3,00;13,00;0,00;1,00
2021-02-28;4,00;2,00;8,00;2,00;2,00
2021-03-07;6,00;2,00;11,00;1,00;1,00
2021-03-14;6,00;1,00;8,00;0,00;2,00
2021-03-21;3,00;2,00;12,00;0,00;1,00
2021-03-28;6,00;1,00;9,00;1,00;1,00
2021-04-04;12,00;2,00;10,00;0,00;0,00
