Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;11,00;1,00;0,00;1,00;3,00;1,00;1,00;2,00;0,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;11,00;2,00;0,00;0,50;2,00;0,50;1,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;14,00;1,00;0,00;0,00;1,00;1,00;0,50;2,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;19,00;2,00;0,00;0,00;2,00;1,00;2,00;1,00;0,50;0,00;0,00;2,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2019-02-03;14,00;0,00;0,00;1,00;2,00;0,50;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,50;0,00;0,50;0,00;0,00;0,00
2019-02-10;19,00;0,00;0,00;1,00;0,50;1,00;1,00;2,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;16,00;0,50;0,00;1,00;4,00;1,00;0,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;19,00;1,00;0,00;0,00;0,50;1,00;1,00;2,00;0,00;0,50;0,50;3,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2019-03-03;17,00;2,00;0,00;2,00;3,00;1,00;2,00;3,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;23,00;1,00;0,00;2,00;1,00;2,00;2,00;3,00;0,00;0,00;0,00;2,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;18,00;1,00;1,00;0,00;1,00;2,00;3,00;4,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;17,00;2,00;0,00;1,00;4,00;2,00;3,00;3,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;17,00;2,00;0,00;0,00;2,00;3,00;1,00;3,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;17,00;0,50;0,50;0,00;0,50;0,50;4,00;1,00;0,00;0,00;0,50;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;21,00;2,00;1,00;1,00;1,00;1,00;5,00;7,00;0,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;27,00;2,00;1,00;3,00;2,00;2,00;5,00;6,00;0,00;0,00;1,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-04-28;20,00;2,00;0,00;1,00;0,00;1,00;4,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-05-05;17,00;3,00;0,50;0,50;0,50;0,50;1,00;5,00;0,00;0,00;0,50;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;14,00;0,50;0,00;1,00;3,00;0,00;1,00;5,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2019-05-19;21,00;1,00;0,00;1,00;1,00;1,00;5,00;2,00;0,00;0,00;1,00;5,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00
2019-05-26;20,00;0,50;0,00;1,00;0,50;2,00;2,00;3,00;0,50;0,00;0,00;4,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-06-02;21,00;2,00;1,00;1,00;4,00;3,00;6,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00
2019-06-09;24,00;3,00;1,00;2,00;2,00;2,00;4,00;4,00;0,00;0,00;1,00;6,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-06-16;22,00;1,00;1,00;1,00;4,00;1,00;3,00;7,00;1,00;0,00;1,00;9,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
