Campings;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;3,00;12,00;9,00;9,00;5,00;6,00;84,00;9,00;9,00
2019-01-13;2,00;15,00;15,00;10,00;7,00;4,00;62,00;6,00;4,00
2019-01-20;3,00;24,00;12,00;8,00;7,00;6,00;72,00;9,00;9,00
2019-01-27;20,00;26,00;11,00;12,00;8,00;7,50;57,50;7,50;7,50
2019-02-03;25,00;22,00;17,00;13,00;10,00;10,00;57,50;5,00;7,50
2019-02-10;22,00;21,00;19,00;12,00;11,00;9,78;61,11;7,33;7,33
2019-02-17;28,00;18,00;18,00;12,00;13,00;10,18;58,55;7,64;7,64
2019-02-24;24,00;29,00;15,00;10,00;12,00;9,60;48,00;7,20;7,20
2019-03-03;27,00;19,00;24,00;10,00;11,00;12,27;54,00;7,36;7,36
2019-03-10;27,00;16,00;22,00;16,00;18,00;12,27;51,55;7,36;9,82
2019-03-17;25,00;18,00;25,00;15,00;15,00;12,50;47,50;7,50;10,00
2019-03-24;28,00;28,00;26,00;16,00;18,00;15,27;56,00;7,64;12,73
2019-03-31;7,00;14,00;17,00;11,00;15,00;4,67;70,00;7,00;9,33
2019-04-07;5,00;22,00;19,00;10,00;14,00;10,00;75,00;12,50;12,50
2019-04-14;5,00;33,00;23,00;17,00;24,00;7,50;102,50;12,50;10,00
2019-04-21;6,00;20,00;26,00;13,00;12,00;9,00;147,00;15,00;15,00
2019-04-28;4,00;29,00;16,00;13,00;16,00;8,00;80,00;10,00;10,00
2019-05-05;4,00;23,00;14,00;12,00;14,00;6,00;74,00;10,00;12,00
2019-05-12;5,00;20,00;16,00;13,00;18,00;5,00;102,50;12,50;17,50
2019-05-19;6,00;20,00;17,00;11,00;15,00;6,00;82,00;10,00;14,00
2019-05-26;8,00;41,00;29,00;19,00;18,00;10,67;128,00;16,00;18,67
2019-06-02;6,00;27,00;34,00;20,00;23,00;12,00;102,00;10,00;14,00
2019-06-09;7,00;37,00;16,00;18,00;21,00;16,33;114,33;11,67;18,67
2019-06-16;9,00;49,00;22,00;18,00;26,00;20,25;108,00;11,25;20,25
2019-06-23;8,00;38,00;28,00;16,00;31,00;24,00;128,00;18,67;24,00
2019-06-30;10,00;53,00;27,00;17,00;34,00;20,00;152,50;15,00;22,50
2019-07-07;11,00;55,00;42,00;21,00;42,00;19,25;211,75;22,00;27,50
2019-07-14;13,00;76,00;37,00;19,00;38,00;20,80;200,20;23,40;23,40
2019-07-21;15,00;79,00;56,00;27,00;40,00;22,50;217,50;20,00;22,50
2019-07-28;16,00;70,00;39,00;18,00;45,00;22,86;194,29;20,57;20,57
2019-08-04;15,00;63,00;29,00;19,00;49,00;30,00;182,50;20,00;20,00
2019-08-11;13,00;45,00;25,00;18,00;49,00;26,00;145,60;20,80;18,20
2019-08-18;13,00;52,00;21,00;18,00;31,00;20,80;137,80;20,80;15,60
2019-08-25;8,00;31,00;17,00;16,00;24,00;16,00;112,00;16,00;16,00
2019-09-01;7,00;25,00;14,00;14,00;15,00;7,00;60,67;9,33;11,67
2019-09-08;6,00;21,00;18,00;13,00;6,00;9,00;66,00;12,00;12,00
2019-09-15;5,00;25,00;8,00;10,00;8,00;7,50;45,00;5,00;10,00
2019-09-22;3,00;14,00;12,00;7,00;9,00;6,00;57,00;9,00;12,00
2019-09-29;3,00;11,00;4,00;10,00;6,00;6,00;45,00;6,00;12,00
2019-10-06;2,00;13,00;5,00;6,00;8,00;2,00;34,00;4,00;8,00
2019-10-13;2,00;11,00;13,00;6,00;6,00;2,00;34,00;4,00;6,00
2019-10-20;2,00;12,00;6,00;7,00;6,00;1,00;30,00;4,00;6,00
2019-10-27;1,00;17,00;4,00;6,00;7,00;1,00;15,00;2,00;2,00
2019-11-03;1,00;11,00;5,00;5,00;4,00;1,00;13,00;2,00;2,00
2019-11-10;1,00;9,00;3,00;5,00;5,00;2,00;28,00;4,00;4,00
2019-11-17;1,00;7,00;3,00;5,00;5,00;2,00;20,00;2,00;4,00
2019-11-24;1,00;15,00;6,00;6,00;4,00;1,00;12,00;2,00;2,00
2019-12-01;1,00;9,00;3,00;5,00;5,00;1,00;12,00;1,00;2,00
2019-12-08;1,00;13,00;8,00;4,00;4,00;2,00;30,00;2,00;2,00
2019-12-15;1,00;7,00;3,00;5,00;3,00;2,00;32,00;2,00;2,00
2019-12-22;1,00;23,00;7,00;8,00;6,00;2,00;42,00;6,00;4,00
2019-12-29;3,00;21,00;6,00;8,00;6,00;6,00;87,00;12,00;9,00
2020-01-05;3,00;17,00;11,00;9,00;6,00;3,00;90,00;9,00;9,00
2020-01-12;2,00;13,00;12,00;12,00;6,00;4,00;70,00;6,00;6,00
2020-01-19;4,00;18,00;5,00;9,00;8,00;4,00;66,00;8,00;6,00
2020-01-26;4,00;21,00;7,00;9,00;7,00;8,00;108,00;8,00;12,00
2020-02-02;3,00;17,00;9,00;9,00;8,00;6,00;75,00;6,00;9,00
2020-02-09;2,00;12,00;7,00;6,00;8,00;4,00;42,00;4,00;6,00
2020-02-16;3,00;17,00;10,00;8,00;8,00;6,00;72,00;6,00;12,00
2020-02-23;3,00;15,00;16,00;7,00;8,00;3,00;60,00;9,00;9,00
2020-03-01;2,00;18,00;4,00;6,00;9,00;4,00;44,00;6,00;6,00
2020-03-08;3,00;11,00;9,00;7,00;6,00;3,00;48,00;6,00;9,00
2020-03-15;1,00;6,00;7,00;5,00;3,00;1,00;24,00;2,00;6,00
2020-03-22;1,00;4,00;4,00;4,00;3,00;2,00;40,00;2,00;4,00
2020-03-29;1,00;4,00;10,00;4,00;2,00;0,50;18,00;1,00;2,00
2020-04-05;1,00;9,00;5,00;3,00;2,00;1,00;32,00;2,00;4,00
2020-04-12;2,00;15,00;11,00;5,00;2,00;2,00;28,00;2,00;4,00
2020-04-19;2,00;11,00;8,00;3,00;2,00;2,00;46,00;2,00;4,00
2020-04-26;1,00;16,00;17,00;5,00;3,00;1,00;30,00;1,00;4,00
2020-05-03;1,00;7,00;16,00;10,00;5,00;1,00;51,00;1,00;5,00
2020-05-10;2,00;13,00;18,00;13,00;4,00;4,00;88,00;4,00;14,00
2020-05-17;2,00;27,00;21,00;14,00;8,00;6,00;94,00;4,00;18,00
2020-05-24;4,00;19,00;25,00;18,00;13,00;6,00;98,00;4,00;18,00
