Week-end;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-03-29;6,00;5,00;3,00;2,00;2,00;3,00;2,00;0,50;0,50
2020-04-05;13,00;4,00;3,00;2,00;1,00;2,00;1,00;0,50;0,50
2020-04-12;8,00;7,00;3,00;1,00;2,00;3,00;2,00;0,50;0,50
2020-04-19;5,00;4,00;4,00;2,00;2,00;3,00;2,00;0,50;0,50
2020-04-26;6,00;2,00;6,00;3,00;3,00;3,00;3,00;0,50;0,50
2020-05-03;8,00;6,00;4,00;3,00;3,00;3,00;4,00;0,50;0,50
2020-05-10;10,00;2,00;8,00;4,00;3,00;4,00;4,00;0,50;0,50
2020-05-17;15,00;7,00;4,00;4,00;3,00;5,00;5,00;0,50;0,50
2020-05-24;15,00;6,00;8,00;4,00;6,00;7,00;5,00;0,50;0,50
2020-05-31;17,00;4,00;6,00;6,00;8,00;10,00;3,00;0,50;0,50
2020-06-07;18,00;5,00;4,00;6,00;7,00;12,00;7,00;1,00;1,00
2020-06-14;21,00;8,00;7,00;5,00;8,00;12,00;6,00;1,00;0,50
2020-06-21;22,00;10,00;6,00;4,00;12,00;15,00;7,00;0,50;0,50
2020-06-28;24,00;10,00;8,00;6,00;12,00;15,00;6,00;0,50;0,50
2020-07-05;27,00;12,00;7,00;6,00;12,00;17,00;7,00;0,50;0,50
2020-07-12;23,00;16,00;9,00;6,00;13,00;15,00;8,00;1,00;0,50
2020-07-19;22,00;8,00;7,00;6,00;11,00;13,00;5,00;0,50;1,00
2020-07-26;19,00;10,00;8,00;6,00;12,00;14,00;7,00;0,50;1,00
2020-08-02;22,00;16,00;7,00;5,00;15,00;12,00;12,00;1,00;1,00
2020-08-09;24,00;6,00;8,00;4,00;13,00;9,00;5,00;0,50;1,00
2020-08-16;23,00;13,00;9,00;6,00;13,00;11,00;6,00;0,50;0,50
2020-08-23;19,00;10,00;9,00;6,00;14,00;12,00;8,00;0,50;0,50
2020-08-30;20,00;12,00;8,00;7,00;14,00;12,00;9,00;1,00;0,50
2020-09-06;25,00;13,00;11,00;6,00;11,00;13,00;7,00;1,00;1,00
2020-09-13;21,00;9,00;7,00;6,00;15,00;12,00;5,00;0,50;0,50
2020-09-20;19,00;12,00;8,00;6,00;13,00;10,00;5,00;0,50;0,50
2020-09-27;18,00;12,00;10,00;6,00;12,00;9,00;3,00;1,00;0,50
2020-10-04;21,00;11,00;8,00;6,00;14,00;8,00;4,00;1,00;1,00
2020-10-11;19,00;8,00;5,00;5,00;10,00;8,00;4,00;0,50;1,00
2020-10-18;16,00;8,00;10,00;4,00;9,00;9,00;3,00;0,50;1,00
2020-10-25;25,00;9,00;7,00;3,00;15,00;7,00;3,00;0,50;0,50
2020-11-01;6,00;6,00;7,00;2,00;7,00;5,00;3,00;0,50;0,50
2020-11-08;7,00;6,00;7,00;3,00;9,00;5,00;4,00;1,00;1,00
2020-11-15;8,00;6,00;3,00;3,00;5,00;4,00;3,00;0,50;1,00
2020-11-22;10,00;4,00;4,00;3,00;6,00;3,00;2,00;1,00;1,00
2020-11-29;9,00;6,00;9,00;2,00;8,00;5,00;4,00;1,00;1,00
2020-12-06;9,00;6,00;8,00;2,00;5,00;4,00;3,00;0,50;1,00
2020-12-13;13,00;6,00;3,00;2,00;8,00;7,00;1,00;0,50;1,00
2020-12-20;10,00;4,00;7,00;1,00;5,00;2,00;1,00;0,50;1,00
2020-12-27;12,00;6,00;5,00;1,00;4,00;3,00;2,00;0,50;0,50
2021-01-03;12,00;10,00;6,00;2,00;6,00;14,00;3,00;0,50;1,00
2021-01-10;20,00;7,00;5,00;2,00;5,00;19,00;4,00;0,50;1,00
2021-01-17;12,00;8,00;9,00;3,00;4,00;7,00;2,00;0,50;1,00
2021-01-24;12,00;8,00;7,00;3,00;6,00;6,00;3,00;0,50;0,50
2021-01-31;15,00;7,00;7,00;5,00;6,00;8,00;4,00;0,50;1,00
2021-02-07;18,00;6,00;12,00;3,00;6,00;8,00;4,00;0,50;1,00
2021-02-14;19,00;9,00;10,00;4,00;7,00;7,00;5,00;1,00;1,00
2021-02-21;40,00;5,00;9,00;4,00;8,00;6,00;4,00;0,50;0,50
2021-02-28;52,00;8,00;10,00;3,00;9,00;7,00;7,00;0,50;0,50
2021-03-07;38,00;6,00;6,00;4,00;9,00;27,00;3,00;0,50;1,00
2021-03-14;32,00;8,00;13,00;3,00;11,00;9,00;4,00;0,50;1,00
2021-03-21;21,00;4,00;13,00;3,00;7,00;5,00;7,00;0,50;1,00
2021-03-28;100,00;10,00;11,00;3,00;9,00;6,00;4,00;0,50;1,00
2021-04-04;20,00;9,00;11,00;3,00;9,00;7,00;4,00;0,50;1,00
2021-04-11;11,00;7,00;10,00;3,00;10,00;8,00;7,00;0,50;1,00
2021-04-18;13,00;6,00;8,00;4,00;10,00;7,00;5,00;0,50;1,00
2021-04-25;22,00;6,00;6,00;3,00;12,00;9,00;3,00;0,50;1,00
2021-05-02;28,00;8,00;9,00;3,00;10,00;10,00;7,00;0,50;1,00
2021-05-09;28,00;8,00;9,00;3,00;15,00;12,00;4,00;0,50;1,00
2021-05-16;26,00;9,00;11,00;3,00;16,00;15,00;6,00;0,50;1,00
2021-05-23;27,00;8,00;4,00;5,00;16,00;13,00;4,00;0,50;1,00
2021-05-30;27,00;10,00;5,00;6,00;16,00;14,00;5,00;0,50;1,00
2021-06-06;22,00;9,00;5,00;4,00;15,00;11,00;4,00;0,50;1,00
2021-06-13;19,00;4,00;9,00;4,00;19,00;15,00;5,00;0,50;1,00
2021-06-20;22,00;9,00;8,00;6,00;16,00;12,00;5,00;0,50;1,00
2021-06-27;23,00;9,00;5,00;6,00;16,00;11,00;6,00;0,50;1,00
2021-07-04;22,00;12,00;12,00;6,00;17,00;12,00;7,00;0,50;1,00
2021-07-11;19,00;9,00;7,00;5,00;15,00;15,00;6,00;0,00;1,00
2021-07-18;18,00;9,00;7,00;7,00;16,00;11,00;6,00;0,50;1,00
2021-07-25;19,00;11,00;9,00;5,00;17,00;11,00;8,00;0,50;1,00
2021-08-01;18,00;10,00;8,00;5,00;13,00;12,00;6,00;0,50;1,00
2021-08-08;22,00;10,00;3,00;4,00;16,00;9,00;6,00;0,50;1,00
2021-08-15;22,00;8,00;4,00;6,00;16,00;12,00;7,00;0,00;1,00
2021-08-22;22,00;13,00;10,00;7,00;14,00;15,00;8,00;0,50;1,00
2021-08-29;22,00;11,00;5,00;7,00;16,00;17,00;8,00;0,50;1,00
2021-09-05;25,00;11,00;10,00;7,00;21,00;12,00;10,00;0,50;1,00
2021-09-12;28,00;13,00;7,00;5,00;14,00;12,00;10,00;0,50;1,00
