Tout_inclus;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;72,00;70,00;38,00;36,00;12,00;36,00;72,00;178,11;85,26
2019-01-13;79,00;43,00;27,00;43,00;9,00;46,24;79,00;167,63;84,78
2019-01-20;74,00;39,00;41,00;36,00;12,00;26,56;70,21;148,00;79,69
2019-01-27;73,00;34,00;23,00;38,00;7,00;26,89;53,79;132,55;78,76
2019-02-03;94,00;40,00;27,00;27,00;8,00;28,78;59,47;130,45;72,90
2019-02-10;100,00;55,00;40,00;29,00;8,00;32,69;46,15;123,08;67,31
2019-02-17;91,00;43,00;50,00;26,00;7,00;26,54;51,19;128,92;75,83
2019-02-24;92,00;55,00;30,00;26,00;10,00;28,75;59,42;115,00;72,83
2019-03-03;72,00;35,00;40,00;31,00;10,00;34,11;41,68;115,58;73,89
2019-03-10;69,00;44,00;34,00;26,00;7,00;26,83;57,50;113,08;70,92
2019-03-17;70,00;47,00;25,00;25,00;11,00;30,27;43,51;117,30;62,43
2019-03-24;58,00;31,00;50,00;26,00;9,00;25,13;36,73;106,33;73,47
2019-03-31;62,00;36,00;27,00;18,00;14,00;29,06;50,38;120,13;67,81
2019-04-07;66,00;39,00;42,00;25,00;13,00;31,06;50,47;126,18;56,29
2019-04-14;61,00;35,00;33,00;23,00;10,00;34,31;36,22;127,72;53,38
2019-04-21;63,00;13,00;27,00;28,00;12,00;36,27;47,73;145,09;61,09
2019-04-28;62,00;49,00;31,00;28,00;8,00;27,13;71,69;149,19;58,13
2019-05-05;55,00;37,00;14,00;28,00;14,00;26,55;55,00;128,97;53,10
2019-05-12;44,00;55,00;29,00;24,00;15,00;30,61;55,48;145,39;53,57
2019-05-19;60,00;41,00;24,00;25,00;14,00;36,77;75,48;147,10;58,06
2019-05-26;58,00;37,00;39,00;31,00;14,00;29,00;44,47;145,00;63,80
2019-06-02;52,00;41,00;22,00;36,00;13,00;46,22;67,41;157,93;61,63
2019-06-09;61,00;46,00;37,00;44,00;11,00;41,94;62,91;160,13;64,81
2019-06-16;51,00;48,00;37,00;42,00;22,00;52,89;56,67;162,44;64,22
2019-06-23;60,00;58,00;51,00;40,00;20,00;48,39;48,39;158,71;60,00
2019-06-30;66,00;56,00;52,00;44,00;18,00;52,80;75,43;148,97;50,91
2019-07-07;76,00;76,00;57,00;48,00;21,00;49,40;79,80;150,10;57,00
2019-07-14;76,00;51,00;47,00;45,00;19,00;41,80;64,60;157,70;57,00
2019-07-21;76,00;77,00;52,00;45,00;16,00;45,60;76,00;159,60;60,80
2019-07-28;86,00;49,00;46,00;39,00;22,00;49,69;99,38;154,80;53,51
2019-08-04;78,00;51,00;34,00;40,00;21,00;53,27;81,80;150,29;49,46
2019-08-11;76,00;40,00;28,00;34,00;27,00;38,00;43,70;161,50;49,40
2019-08-18;60,00;50,00;33,00;37,00;25,00;36,77;65,81;145,16;48,39
2019-08-25;56,00;30,00;30,00;38,00;20,00;31,73;61,60;140,00;41,07
2019-09-01;52,00;38,00;28,00;30,00;11,00;25,04;44,30;130,96;48,15
2019-09-08;54,00;34,00;20,00;30,00;17,00;23,14;46,29;131,14;42,43
2019-09-15;36,00;32,00;45,00;31,00;12,00;15,16;43,58;125,05;45,47
2019-09-22;44,00;26,00;36,00;29,00;11,00;15,30;49,74;153,04;44,00
2019-09-29;47,00;42,00;34,00;21,00;10,00;15,67;39,17;117,50;48,96
2019-10-06;42,00;30,00;22,00;21,00;14,00;17,18;42,00;105,00;45,82
2019-10-13;41,00;24,00;27,00;24,00;5,00;13,05;37,27;85,73;39,14
2019-10-20;31,00;34,00;14,00;23,00;6,00;9,69;48,44;85,25;46,50
2019-10-27;44,00;21,00;30,00;21,00;11,00;15,30;26,78;78,43;42,09
2019-11-03;39,00;55,00;23,00;22,00;7,00;15,60;39,00;74,10;52,65
2019-11-10;32,00;44,00;12,00;21,00;4,00;15,06;28,24;71,53;45,18
2019-11-17;36,00;26,00;16,00;20,00;11,00;7,58;41,68;68,21;41,68
2019-11-24;35,00;33,00;9,00;18,00;8,00;17,50;25,28;70,00;50,56
2019-12-01;33,00;41,00;30,00;24,00;6,00;14,67;36,67;60,50;47,67
2019-12-08;36,00;33,00;23,00;20,00;4,00;11,37;36,00;70,11;49,26
2019-12-15;46,00;29,00;40,00;23,00;4,00;15,33;26,83;74,75;51,75
2019-12-22;60,00;28,00;17,00;27,00;6,00;15,48;60,00;112,26;73,55
2019-12-29;69,00;45,00;41,00;36,00;12,00;28,75;65,17;162,92;84,33
2020-01-05;65,00;26,00;41,00;38,00;8,00;22,94;86,03;191,18;89,85
2020-01-12;66,00;46,00;53,00;41,00;10,00;31,06;85,41;184,41;91,24
2020-01-19;64,00;47,00;34,00;36,00;10,00;33,88;58,35;146,82;84,71
2020-01-26;63,00;37,00;40,00;35,00;9,00;24,82;63,00;129,82;66,82
2020-02-02;59,00;36,00;27,00;27,00;10,00;20,94;53,29;133,23;68,52
2020-02-09;53,00;57,00;16,00;27,00;11,00;24,61;45,43;123,04;71,93
2020-02-16;69,00;30,00;34,00;25,00;7,00;21,08;53,67;124,58;76,67
