Residence_tourisme;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-05-31;35,00;4,00;27,00;8,00;15,00;4,00;0,00;11,00;6,00
2020-06-07;19,00;13,00;11,00;17,00;27,00;11,00;8,00;29,00;25,00
2020-06-14;33,00;22,00;16,00;10,00;45,00;7,00;21,00;17,00;12,00
2020-06-21;40,00;23,00;6,00;10,00;43,00;8,00;16,00;15,00;14,00
2020-06-28;52,00;27,00;34,00;13,00;39,00;10,00;28,00;9,00;4,00
2020-07-05;48,00;19,00;12,00;14,00;42,00;11,00;18,00;15,00;5,00
2020-07-12;44,00;15,00;31,00;18,00;48,00;14,00;12,00;14,00;3,00
2020-07-19;67,00;21,00;19,00;14,00;40,00;9,00;30,00;17,00;5,00
2020-07-26;66,00;15,00;13,00;15,00;60,00;17,00;13,00;19,00;5,00
2020-08-02;80,00;29,00;18,00;16,00;73,00;16,00;26,00;11,00;5,00
2020-08-09;100,00;23,00;23,00;11,00;62,00;5,00;14,00;18,00;4,00
2020-08-16;81,00;5,00;40,00;17,00;46,00;13,00;10,00;14,00;3,00
2020-08-23;23,00;24,00;11,00;8,00;34,00;6,00;5,00;13,00;4,00
2020-08-30;28,00;14,00;29,00;13,00;30,00;8,00;14,00;15,00;2,00
2020-09-06;43,00;15,00;0,00;14,00;17,00;2,00;14,00;12,00;4,00
2020-09-13;54,00;5,00;6,00;10,00;20,00;3,00;5,00;14,00;2,00
2020-09-20;57,00;5,00;17,00;10,00;18,00;4,00;5,00;9,00;3,00
2020-09-27;48,00;5,00;18,00;15,00;21,00;1,00;5,00;10,00;3,00
2020-10-04;51,00;5,00;24,00;23,00;13,00;2,00;5,00;6,00;4,00
2020-10-11;45,00;5,00;12,00;15,00;11,00;3,00;8,00;15,00;5,00
2020-10-18;47,00;5,00;18,00;14,00;10,00;1,00;10,00;10,00;3,00
2020-10-25;21,00;0,00;0,00;11,00;12,00;2,00;5,00;17,00;4,00
2020-11-01;36,00;18,00;11,00;17,00;6,00;2,00;2,00;16,00;3,00
2020-11-08;42,00;5,00;6,00;13,00;1,00;1,00;5,00;13,00;5,00
2020-11-15;25,00;19,00;0,00;14,00;11,00;2,00;5,00;9,00;2,00
2020-11-22;23,00;5,00;11,00;10,00;9,00;2,00;12,00;16,00;4,00
2020-11-29;41,00;9,00;0,00;8,00;10,00;1,00;0,00;17,00;3,00
2020-12-06;48,00;0,00;6,00;10,00;8,00;1,00;0,00;13,00;4,00
2020-12-13;50,00;5,00;0,00;12,00;6,00;1,00;0,00;11,00;3,00
2020-12-20;43,00;5,00;20,00;18,00;13,00;0,00;3,00;17,00;4,00
2020-12-27;16,00;10,00;20,00;6,00;11,00;3,00;5,00;7,00;3,00
2021-01-03;38,00;0,00;6,00;10,00;14,00;1,00;7,00;9,00;3,00
2021-01-10;33,00;10,00;6,00;10,00;13,00;1,00;2,00;9,00;3,00
2021-01-17;54,00;5,00;23,00;18,00;7,00;2,00;0,00;8,00;4,00
2021-01-24;38,00;14,00;23,00;11,00;11,00;0,00;5,00;10,00;3,00
2021-01-31;51,00;5,00;23,00;12,00;10,00;1,00;12,00;12,00;2,00
2021-02-07;54,00;5,00;23,00;9,00;11,00;0,00;8,00;21,00;2,00
2021-02-14;35,00;5,00;24,00;18,00;14,00;1,00;5,00;10,00;3,00
2021-02-21;32,00;10,00;12,00;16,00;10,00;3,00;7,00;12,00;4,00
2021-02-28;25,00;10,00;24,00;7,00;17,00;1,00;5,00;5,00;3,00
2021-03-07;33,00;10,00;11,00;8,00;18,00;3,00;2,00;12,00;5,00
2021-03-14;54,00;9,00;16,00;23,00;18,00;1,00;9,00;22,00;3,00
2021-03-21;62,00;10,00;12,00;16,00;14,00;3,00;2,00;16,00;5,00
2021-03-28;13,00;21,00;13,00;16,00;17,00;0,00;8,00;16,00;5,00
2021-04-04;34,00;19,00;0,00;6,00;23,00;5,00;5,00;8,00;5,00
2021-04-11;50,00;5,00;23,00;23,00;13,00;7,00;5,00;19,00;6,00
2021-04-18;60,00;5,00;36,00;14,00;22,00;7,00;5,00;21,00;10,00
2021-04-25;57,00;24,00;0,00;11,00;29,00;10,00;8,00;22,00;9,00
2021-05-02;46,00;28,00;17,00;11,00;19,00;3,00;12,00;22,00;12,00
2021-05-09;56,00;15,00;12,00;21,00;38,00;3,00;8,00;25,00;10,00
