Croisiere;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;57,00;16,00;72,00;75,00;3,00;101,79;2,71;5,43;5,43
2019-01-13;41,00;15,00;67,00;77,00;3,00;95,67;2,73;5,47;5,47
2019-01-20;42,00;9,00;66,00;70,00;2,00;90,77;4,06;5,42;4,06
2019-01-27;33,00;8,00;71,00;65,00;1,00;68,75;1,38;4,13;4,13
2019-02-03;27,00;5,00;60,00;57,00;2,00;74,25;0,00;6,75;4,05
2019-02-10;27,00;11,00;38,00;62,00;3,00;62,10;2,70;4,05;4,05
2019-02-17;30,00;10,00;50,00;50,00;0,00;66,82;1,36;6,82;5,45
2019-02-24;44,00;13,00;51,00;48,00;3,00;74,25;2,75;9,63;4,13
2019-03-03;31,00;8,00;39,00;55,00;1,00;64,82;1,41;4,23;9,86
2019-03-10;35,00;8,00;42,00;43,00;3,00;65,96;2,69;2,69;4,04
2019-03-17;36,00;13,00;28,00;51,00;3,00;78,92;2,77;4,15;4,15
2019-03-24;38,00;13,00;32,00;44,00;2,00;111,29;5,43;9,50;8,14
2019-03-31;40,00;11,00;41,00;36,00;2,00;61,33;2,67;5,33;4,00
2019-04-07;37,00;24,00;48,00;51,00;3,00;56,19;5,48;4,11;4,11
2019-04-14;42,00;9,00;58,00;44,00;3,00;59,61;1,35;5,42;2,71
2019-04-21;47,00;10,00;50,00;43,00;3,00;85,71;2,76;5,53;2,76
2019-04-28;40,00;16,00;60,00;48,00;2,00;74,48;1,38;5,52;2,76
2019-05-05;39,00;11,00;46,00;50,00;3,00;79,34;2,69;5,38;4,03
2019-05-12;33,00;11,00;45,00;54,00;3,00;71,50;2,75;5,50;2,75
2019-05-19;33,00;25,00;48,00;47,00;2,00;73,92;2,64;5,28;2,64
2019-05-26;40,00;9,00;44,00;47,00;4,00;71,72;4,14;5,52;4,14
2019-06-02;46,00;15,00;51,00;53,00;3,00;128,53;2,71;21,65;10,82
2019-06-09;33,00;20,00;41,00;56,00;4,00;86,63;4,13;11,00;4,13
2019-06-16;43,00;8,00;46,00;64,00;3,00;100,78;2,69;5,38;4,03
