Ski;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;68,00;66,11;115,22;34,00;56,67;26,00;59,00;38,00;20,00
2019-01-13;73,00;55,71;121,03;24,97;46,11;21,00;45,00;34,00;20,00
2019-01-20;77,00;54,46;88,27;20,66;54,46;19,00;30,00;32,00;17,00
2019-01-27;82,00;44,73;100,64;24,23;55,91;17,00;33,00;24,00;15,00
2019-02-03;87,00;37,83;77,54;26,48;64,30;16,00;28,00;26,00;15,00
2019-02-10;87,00;28,37;117,26;20,80;58,63;19,00;34,00;25,00;15,00
2019-02-17;90,00;28,13;110,63;20,63;50,63;18,00;23,00;25,00;15,00
2019-02-24;57,00;36,10;83,60;15,20;45,60;13,00;25,00;19,00;11,00
2019-03-03;48,00;36,92;59,08;12,92;35,08;17,00;27,00;16,00;11,00
2019-03-10;31,00;29,06;58,13;11,63;25,19;13,00;12,00;15,00;10,00
2019-03-17;26,00;16,71;55,71;9,29;18,57;6,00;14,00;11,00;6,00
2019-03-24;20,00;20,00;29,09;5,45;14,55;4,00;10,00;11,00;6,00
2019-03-31;19,00;26,60;20,90;3,80;15,20;6,00;11,00;11,00;4,00
2019-04-07;17,00;17,00;28,33;3,78;18,89;6,00;7,00;12,00;4,00
2019-04-14;13,00;14,86;22,29;3,71;13,00;7,00;3,00;7,00;3,00
2019-04-21;5,00;6,67;11,67;1,67;8,33;5,00;3,00;4,00;3,00
2019-04-28;8,00;6,00;14,00;2,00;8,00;1,00;6,00;6,00;2,00
2019-05-05;5,00;10,00;15,00;2,50;7,50;4,00;5,00;6,00;2,00
2019-05-12;4,00;4,00;4,00;2,00;8,00;2,00;2,00;5,00;2,00
2019-05-19;4,00;8,00;6,00;2,00;4,00;1,00;5,00;4,00;2,00
2019-05-26;4,00;2,00;10,00;1,00;4,00;2,00;2,00;5,00;2,00
2019-06-02;3,00;1,50;3,00;0,75;3,00;2,00;4,00;6,00;2,00
2019-06-09;5,00;10,00;10,00;2,50;5,00;2,00;8,00;6,00;2,00
2019-06-16;5,00;5,00;1,67;1,67;5,00;2,00;2,00;6,00;3,00
2019-06-23;4,00;6,00;4,00;2,00;4,00;2,00;3,00;4,00;3,00
2019-06-30;6,00;6,00;6,00;2,00;6,00;2,00;5,00;4,00;3,00
2019-07-07;7,00;10,50;5,25;1,75;5,25;2,00;5,00;5,00;3,00
2019-07-14;9,00;9,00;9,00;1,80;7,20;3,00;8,00;6,00;3,00
2019-07-21;8,00;6,00;10,00;4,00;6,00;4,00;6,00;6,00;3,00
2019-07-28;11,00;16,50;12,83;3,67;7,33;5,00;6,00;8,00;3,00
2019-08-04;10,00;12,00;14,00;2,00;12,00;6,00;8,00;7,00;3,00
2019-08-11;14,00;20,00;12,00;2,00;8,00;4,00;13,00;8,00;4,00
2019-08-18;9,00;16,20;12,60;3,60;7,20;6,00;13,00;8,00;4,00
2019-08-25;14,00;12,25;12,25;1,75;7,00;4,00;8,00;8,00;4,00
2019-09-01;12,00;29,14;18,86;3,43;17,14;5,00;12,00;10,00;5,00
2019-09-08;15,00;26,25;15,00;3,75;9,38;6,00;19,00;11,00;4,00
2019-09-15;17,00;28,33;17,00;3,78;11,33;6,00;12,00;11,00;4,00
2019-09-22;16,00;16,00;16,00;3,56;12,44;6,00;16,00;10,00;5,00
2019-09-29;19,00;22,80;15,20;3,80;9,50;6,00;19,00;12,00;5,00
2019-10-06;20,00;27,27;20,00;5,45;14,55;5,00;21,00;14,00;5,00
2019-10-13;23,00;36,42;13,42;7,67;11,50;7,00;17,00;13,00;5,00
2019-10-20;22,00;22,00;18,33;5,50;14,67;7,00;18,00;13,00;6,00
2019-10-27;22,00;38,50;29,33;5,50;14,67;7,00;19,00;14,00;7,00
2019-11-03;30,00;28,13;24,38;7,50;26,25;14,00;18,00;14,00;7,00
2019-11-10;46,00;32,58;30,67;9,58;40,25;13,00;27,00;16,00;8,00
2019-11-17;49,00;39,58;47,12;11,31;47,12;18,00;19,00;17,00;9,00
2019-11-24;40,00;34,29;49,52;9,52;47,62;16,00;22,00;15,00;11,00
2019-12-01;42,00;36,27;63,00;11,45;55,36;18,00;22,00;16,00;12,00
2019-12-08;46,00;26,83;82,42;15,33;53,67;21,00;35,00;18,00;12,00
2019-12-15;55,00;32,24;64,48;13,28;47,41;21,00;29,00;19,00;15,00
2019-12-22;97,00;36,14;148,35;26,63;64,67;41,00;44,00;28,00;23,00
2019-12-29;100,00;60,38;188,68;30,19;67,92;52,00;34,00;37,00;21,00
2020-01-05;72,00;43,58;92,84;18,95;56,84;30,00;41,00;32,00;18,00
2020-01-12;72,00;53,05;106,11;18,95;43,58;23,00;35,00;28,00;16,00
2020-01-19;75,00;60,00;86,25;15,00;61,88;23,00;38,00;28,00;16,00
