Paris;DE;BE;CH;ES;FR;IT;NL;GB;US
2019-04-21;30,00;68,57;64,29;47,14;364,29;61,00;78,00;29,00;13,00
2019-04-28;24,00;72,00;44,00;36,00;324,00;48,00;78,00;33,00;12,00
2019-05-05;23,00;55,20;59,80;55,20;326,60;50,00;50,00;33,00;14,00
2019-05-12;26,00;69,33;47,67;43,33;338,00;45,00;63,00;34,00;14,00
2019-05-19;28,00;84,00;51,33;51,33;354,67;54,00;60,00;40,00;16,00
2019-05-26;24,00;76,00;40,00;36,00;328,00;44,00;65,00;30,00;16,00
2019-06-02;28,00;60,00;52,00;40,00;324,00;55,00;81,00;37,00;17,00
2019-06-09;26,00;60,67;43,33;43,33;385,67;53,00;60,00;35,00;16,00
2019-06-16;27,00;76,50;67,50;54,00;382,50;49,00;53,00;43,00;16,00
2019-06-23;24,00;91,20;67,20;52,80;460,80;55,00;49,00;47,00;17,00
2019-06-30;23,00;96,60;50,60;50,60;414,00;52,00;59,00;39,00;15,00
2019-07-07;29,00;82,86;58,00;49,71;360,43;49,00;76,00;42,00;15,00
2019-07-14;32,00;91,43;59,43;50,29;402,29;55,00;80,00;42,00;15,00
2019-07-21;31,00;101,86;62,00;57,57;411,86;62,00;80,00;46,00;14,00
2019-07-28;28,00;98,00;60,67;60,67;438,67;59,00;100,00;43,00;14,00
2019-08-04;28,00;102,67;60,67;60,67;434,00;63,00;73,00;42,00;14,00
2019-08-11;28,00;80,00;44,00;56,00;400,00;60,00;68,00;41,00;13,00
2019-08-18;27,00;99,00;45,00;54,00;400,50;63,00;62,00;34,00;14,00
2019-08-25;27,00;67,50;49,50;58,50;369,00;58,00;55,00;40,00;12,00
2019-09-01;27,00;81,00;63,00;49,50;364,50;68,00;56,00;37,00;15,00
2019-09-08;25,00;70,83;58,33;45,83;354,17;61,00;65,00;44,00;14,00
2019-09-15;26,00;73,67;69,33;56,33;355,33;61,00;58,00;46,00;15,00
2019-09-22;29,00;70,43;66,29;45,57;343,86;64,00;67,00;40,00;15,00
2019-09-29;29,00;82,86;58,00;45,57;339,71;65,00;59,00;38,00;14,00
2019-10-06;27,00;72,00;63,00;58,50;364,50;61,00;73,00;46,00;14,00
2019-10-13;27,00;76,50;63,00;45,00;373,50;64,00;84,00;40,00;13,00
2019-10-20;26,00;95,33;78,00;43,33;394,33;64,00;70,00;44,00;12,00
2019-10-27;27,00;103,50;67,50;45,00;391,50;95,00;54,00;34,00;13,00
2019-11-03;20,00;88,00;52,00;48,00;316,00;66,00;51,00;39,00;13,00
2019-11-10;22,00;83,60;52,80;52,80;330,00;68,00;54,00;34,00;14,00
2019-11-17;23,00;64,40;59,80;46,00;340,40;62,00;53,00;32,00;13,00
2019-11-24;20,00;64,00;48,00;44,00;276,00;70,00;47,00;32,00;12,00
2019-12-01;23,00;78,20;50,60;59,80;340,40;68,00;63,00;35,00;13,00
2019-12-08;22,00;70,40;44,00;39,60;321,20;60,00;56,00;31,00;13,00
2019-12-15;22,00;74,80;66,00;35,20;321,20;58,00;52,00;36,00;14,00
2019-12-22;32,00;96,00;59,43;45,71;384,00;77,00;71,00;38,00;17,00
2019-12-29;29,00;78,71;82,86;49,71;348,00;84,00;59,00;44,00;17,00
2020-01-05;27,00;67,50;58,50;54,00;328,50;76,00;62,00;46,00;19,00
2020-01-12;27,00;72,00;67,50;49,50;346,50;74,00;63,00;44,00;18,00
2020-01-19;23,00;92,00;46,00;46,00;331,20;63,00;66,00;46,00;19,00
2020-01-26;21,00;79,80;37,80;50,40;294,00;51,00;57,00;38,00;15,00
2020-02-02;20,00;80,00;44,00;44,00;304,00;51,00;54,00;39,00;15,00
2020-02-09;24,00;64,00;64,00;36,00;316,00;55,00;59,00;45,00;16,00
2020-02-16;25,00;83,33;50,00;50,00;325,00;50,00;56,00;39,00;16,00
2020-02-23;20,00;76,00;52,00;40,00;304,00;45,00;73,00;42,00;19,00
2020-03-01;20,00;68,00;48,00;32,00;260,00;39,00;46,00;36,00;15,00
2020-03-08;17,00;68,00;34,00;29,75;276,25;27,00;55,00;30,00;18,00
2020-03-15;9,00;36,00;27,00;18,00;171,00;26,00;24,00;19,00;12,00
2020-03-22;8,00;24,00;16,00;12,00;88,00;18,00;17,00;11,00;8,00
2020-03-29;8,00;20,00;16,00;8,00;76,00;17,00;17,00;12,00;8,00
2020-04-05;7,00;17,50;10,50;14,00;63,00;15,00;13,00;13,00;9,00
2020-04-12;6,00;24,00;24,00;24,00;102,00;18,00;19,00;13,00;8,00
2020-04-19;4,00;12,00;12,00;12,00;68,00;15,00;10,00;10,00;7,00
2020-04-26;6,00;24,00;12,00;12,00;114,00;13,00;14,00;11,00;6,00
2020-05-03;6,00;24,00;18,00;18,00;126,00;15,00;14,00;11,00;6,00
2020-05-10;7,00;14,00;14,00;10,50;87,50;16,00;14,00;13,00;6,00
2020-05-17;6,00;24,00;18,00;12,00;174,00;17,00;13,00;11,00;7,00
2020-05-24;6,00;24,00;18,00;12,00;216,00;16,00;17,00;13,00;7,00
2020-05-31;9,00;27,00;13,50;13,50;193,50;20,00;21,00;11,00;6,00
2020-06-07;10,00;35,00;25,00;15,00;225,00;17,00;26,00;12,00;7,00
2020-06-14;12,00;32,00;20,00;12,00;188,00;20,00;31,00;17,00;8,00
2020-06-21;8,00;40,00;24,00;12,00;216,00;16,00;29,00;16,00;7,00
2020-06-28;15,00;60,00;25,00;15,00;270,00;22,00;37,00;19,00;6,00
