Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2021-03-28;17,00;2,00;5,00;0,00;2,00
2021-04-04;14,00;5,00;20,00;0,00;5,00
2021-04-11;24,00;4,00;11,00;4,00;2,00
2021-04-18;15,00;0,00;22,00;4,00;4,00
2021-04-25;9,00;2,00;9,00;2,00;0,00
2021-05-02;8,00;4,00;12,00;0,00;6,00
2021-05-09;9,00;0,00;18,00;0,00;2,00
2021-05-16;13,00;2,00;8,00;0,00;2,00
2021-05-23;13,00;0,00;16,00;0,00;0,00
2021-05-30;19,00;2,00;7,00;0,00;2,00
2021-06-06;29,00;2,00;16,00;0,00;2,00
2021-06-13;25,00;5,00;12,00;0,00;2,00
2021-06-20;16,00;0,00;11,00;2,00;2,00
2021-06-27;11,00;0,00;7,00;2,00;2,00
2021-07-04;37,00;0,00;12,00;0,00;0,00
2021-07-11;36,00;2,00;7,00;5,00;0,00
2021-07-18;12,00;2,00;3,00;5,00;5,00
2021-07-25;35,00;0,00;35,00;2,00;5,00
2021-08-01;17,00;0,00;10,00;2,00;5,00
2021-08-08;21,00;3,00;5,00;0,00;3,00
2021-08-15;50,00;5,00;12,00;0,00;0,00
2021-08-22;34,00;3,00;16,00;3,00;0,00
2021-08-29;21,00;5,00;13,00;0,00;0,00
2021-09-05;24,00;5,00;13,00;3,00;0,00
2021-09-12;9,00;0,00;6,00;0,00;6,00
