Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-05-19;51,00;13,00;21,00;0,00;72,15;159,00;33,00;17,00;76,50;68,00;8,50;8,00;0,00;4,00;0,00;17,41;12,44;46,02;8,71;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;54,00;12,00;25,00;0,00;41,44;171,00;33,00;15,43;46,29;108,00;7,71;8,00;16,00;12,00;0,00;41,44;21,35;32,65;3,77;0,00;20,65;0,00;8,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;45,00;20,00;20,00;0,00;45,00;201,00;39,00;7,50;45,00;97,50;7,50;20,00;4,00;12,00;8,00;28,75;3,75;68,75;12,50;0,00;7,76;0,00;4,00;0,00;0,00;4,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;71,00;21,00;46,00;8,72;62,28;253,13;30,87;23,67;71,00;110,44;15,78;4,00;33,00;17,00;0,00;124,56;8,72;33,63;3,74;4,73;0,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;8,00;8,00;4,00;0,00;0,00;0,00;0,00
2019-06-16;66,00;13,00;31,00;8,72;57,28;237,00;27,00;16,50;107,25;107,25;16,50;39,00;4,00;9,00;9,00;43,58;8,72;61,02;8,72;0,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00
2019-06-23;45,00;0,00;18,00;5,00;67,50;198,00;57,00;15,00;75,00;127,50;7,50;27,00;9,00;18,00;4,00;35,00;17,50;62,50;13,75;0,00;4,82;4,82;9,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-06-30;53,00;13,00;40,00;4,93;78,88;224,47;93,53;22,71;83,29;113,57;15,14;18,00;13,00;31,00;0,00;31,55;13,88;44,17;26,50;0,00;9,35;0,00;9,00;4,00;9,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-07-07;77,00;4,00;30,00;3,73;124,19;246,40;64,68;7,70;84,70;177,10;7,70;13,00;21,00;21,00;0,00;38,50;0,00;47,19;3,73;0,00;7,86;0,00;9,00;4,00;4,00;4,00;9,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;75,00;18,00;22,00;5,00;61,25;216,00;69,00;15,00;67,50;187,50;7,50;22,00;22,00;4,00;0,00;31,25;22,50;40,00;8,75;0,00;4,69;4,69;9,00;0,00;9,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;54,00;13,00;36,00;5,02;67,81;300,00;63,00;7,71;46,29;169,71;23,14;18,00;13,00;18,00;9,00;22,60;13,81;67,81;8,79;0,00;14,29;0,00;4,00;0,00;4,00;0,00;9,00;4,00;9,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;83,00;19,00;14,00;13,63;78,04;233,63;55,33;30,18;120,73;226,36;15,09;18,00;14,00;14,00;0,00;40,88;27,25;87,96;8,67;0,00;4,70;0,00;9,00;0,00;0,00;0,00;5,00;5,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;46,00;14,00;23,00;4,97;87,03;254,53;46,00;7,67;61,33;237,67;23,00;32,00;46,00;14,00;5,00;27,35;18,65;49,73;8,70;0,00;4,76;9,52;9,00;0,00;5,00;5,00;9,00;14,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00
2019-08-11;94,00;5,00;28,00;5,01;117,81;236,52;51,55;7,83;78,33;282,00;15,67;23,00;33,00;33,00;5,00;42,61;23,81;51,39;8,77;0,00;9,40;4,70;0,00;0,00;0,00;0,00;0,00;5,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;100,00;5,00;14,00;22,50;82,50;260,61;45,45;15,38;76,92;769,23;7,69;14,00;18,00;9,00;9,00;22,50;13,75;41,25;13,75;0,00;9,38;4,69;5,00;0,00;0,00;0,00;5,00;5,00;14,00;0,00;0,00;5,00;0,00;0,00;0,00
2019-08-25;60,00;13,00;26,00;3,67;63,67;141,00;51,00;0,00;45,00;322,50;7,50;0,00;17,00;13,00;0,00;12,50;0,00;56,25;0,00;0,00;16,92;0,00;9,00;9,00;4,00;0,00;4,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;41,00;4,00;20,00;0,00;28,58;100,92;63,08;16,40;32,80;98,40;24,60;20,00;8,00;8,00;0,00;28,58;19,88;24,85;8,70;0,00;0,00;0,00;12,00;4,00;8,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;48,00;8,00;24,00;0,00;19,69;159,00;48,00;8,00;56,00;88,00;0,00;8,00;12,00;8,00;0,00;23,38;3,69;23,38;3,69;0,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;36,00;0,00;36,00;3,72;27,31;96,00;36,00;3,60;21,60;93,60;0,00;8,00;8,00;8,00;0,00;36,00;7,71;24,43;0,00;0,00;4,70;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-09-22;64,00;4,00;24,00;7,53;12,55;118,86;24,38;8,00;32,00;120,00;0,00;8,00;8,00;4,00;0,00;12,55;3,76;36,39;12,55;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;52,00;0,00;24,00;23,52;32,19;85,65;24,47;7,43;37,14;81,71;0,00;0,00;0,00;0,00;0,00;7,43;12,38;16,10;7,43;0,00;4,73;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;48,00;4,00;32,00;0,00;23,38;75,00;39,00;8,00;16,00;80,00;0,00;4,00;12,00;0,00;4,00;20,21;12,63;16,42;3,79;0,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;51,00;4,00;19,00;7,46;7,46;54,00;24,00;4,25;8,50;68,00;4,25;4,00;0,00;0,00;0,00;7,46;19,90;3,73;7,46;0,00;3,19;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;74,00;4,00;27,00;7,40;16,03;46,25;30,83;8,22;8,22;106,89;4,11;4,00;8,00;0,00;4,00;7,53;0,00;23,83;3,76;3,15;7,87;0,00;8,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;32,00;8,00;16,00;0,00;20,48;70,40;25,60;4,00;8,00;80,00;8,00;8,00;8,00;0,00;0,00;3,84;0,00;28,16;7,68;0,00;4,80;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;23,00;0,00;19,00;7,26;14,53;43,13;17,25;7,67;7,67;61,33;7,67;8,00;0,00;4,00;4,00;23,00;3,63;18,16;3,63;0,00;3,07;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;27,00;4,00;38,00;0,00;7,36;42,00;18,00;4,50;9,00;45,00;0,00;8,00;11,00;0,00;0,00;11,05;18,41;18,41;3,68;0,00;11,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;42,00;8,00;31,00;3,71;25,94;72,00;27,00;4,20;16,80;42,00;8,40;0,00;4,00;8,00;0,00;0,00;0,00;14,82;0,00;0,00;18,67;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;38,00;0,00;41,00;0,00;15,20;50,67;28,50;0,00;7,60;38,00;0,00;7,00;0,00;4,00;4,00;19,00;7,60;11,40;3,80;0,00;45,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;36,00;0,00;12,00;0,00;0,00;63,00;39,00;7,20;14,40;43,20;7,20;0,00;0,00;4,00;0,00;12,41;3,72;3,72;7,45;0,00;139,30;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2019-12-08;28,00;0,00;8,00;8,52;12,17;62,22;9,33;0,00;7,00;49,00;0,00;8,00;0,00;4,00;0,00;24,35;8,52;3,65;8,52;0,00;101,11;0,00;0,00;0,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
