Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2021-03-28;13,00;3,00;27,00;0,50;3,00
2021-04-04;19,00;3,00;25,00;2,00;1,00
2021-04-11;15,00;4,00;26,00;2,00;1,00
2021-04-18;16,00;3,00;30,00;3,00;2,00
2021-04-25;15,00;1,00;25,00;2,00;2,00
2021-05-02;21,00;2,00;32,00;2,00;3,00
2021-05-09;22,00;2,00;32,00;1,00;1,00
2021-05-16;22,00;1,00;24,00;1,00;1,00
2021-05-23;16,00;2,00;27,00;1,00;3,00
2021-05-30;16,00;2,00;24,00;2,00;3,00
2021-06-06;19,00;4,00;27,00;2,00;2,00
2021-06-13;21,00;3,00;24,00;1,00;1,00
2021-06-20;20,00;3,00;23,00;1,00;2,00
2021-06-27;19,00;4,00;28,00;1,00;4,00
2021-07-04;21,00;3,00;27,00;1,00;2,00
2021-07-11;25,00;1,00;25,00;1,00;2,00
2021-07-18;22,00;1,00;32,00;2,00;6,00
2021-07-25;27,00;3,00;33,00;1,00;2,00
2021-08-01;14,00;2,00;23,00;1,00;1,00
2021-08-08;22,00;2,00;26,00;2,00;1,00
2021-08-15;20,00;3,00;23,00;1,00;2,00
2021-08-22;19,00;2,00;89,00;1,00;2,00
2021-08-29;16,00;2,00;37,00;1,00;1,00
2021-09-05;15,00;2,00;24,00;1,00;0,50
2021-09-12;18,00;3,00;26,00;1,00;2,00
